DataSourceID,DataSource
5388,Teva Pharmaceuticals USA Inc
1126,Proficient Rx LP
9983,REMEDYREPACK INC.
5644,"Nelco Laboratories, Inc."
1860,"Newton Laboratories, Inc."
3628,"Nelco Laboratories, Inc."
2573,Rimmel Inc.
6488,Mylan Pharmaceuticals Inc.
3819,Rebel Distributors Corp
3923,"Allergy Laboratories, Inc."
2549,Cadila Healthcare Limited
6917,H E B
4101,WALGREENS Co
4479,"Hospira, Inc."
9193,"AMI Cosmetic Co.,Ltd."
1677,"SJ Creations, Inc."
3210,Genzyme Corporation
3174,"Ningbo Dowland Daily Health Co., Ltd"
1848,"PD-Rx Pharmaceuticals, Inc."
3028,Poly Pharmaceuticals
4336,Cherry Hill Sales Co
9393,"DOLGENCORP, INC."
1483,AMERICAN SALES COMPANY
7898,"Taro Pharmaceuticals U.S.A., Inc."
4856,Mylan Institutional Inc.
9346,"Carver Korea Co.,Ltd"
4483,"Forest Laboratories, Inc."
3388,Support Medical Company
7024,Boots Retail USA Inc
6944,Onset Dermatologics LLC
2362,"Humphreys Pharmacal, Incorporated"
4730,STAT RX USA LLC
2944,NorthStar RxLLC
3657,Uriel Pharmacy Inc.
5381,"Global Pharmaceuticals, Division of Impax Laboratories Inc."
7312,Kroger Company
3166,Mylan Pharmaceuticals Inc.
8862,"Nelco Laboratories, Inc."
5540,"DOLGENCORP, LLC"
3625,REMEDYREPACK INC.
1906,Health Care Products
3046,FORTUNE PHARMACAL COMPANY LIMITED
6529,"Jazz Pharmaceuticals, Inc."
7615,Ventura Corporation LTD
5240,Target
6763,"Janssen Biotech, Inc."
4651,Best Choice (Valu Merchandisers Company)
4810,Supervalu Inc
2256,Mylan Institutional Inc.
4205,Cardinal Health
3661,DOLGENCORP INC
2041,"PD-Rx Pharmaceuticals, Inc."
6884,"Golden State Medical Supply, Inc."
9530,Dr. Reddy's Laboratories Limited
1076,NeoStrata Company Inc.
9983,Clinical Solutions Wholesale
8323,CVS Pharmacy
1206,"Hospira, Inc."
7314,"Nelco Laboratories, Inc."
4288,Conopco Inc. d/b/a Unilever
3008,Lake Erie Medical DBA Quality Care Products LLC
5499,Home Sweet Homeopathics
2295,CHAIN DRUG MARKETING ASSOCIATION INC
9379,Mylan Institutional Inc.
6934,"Nelco Laboratories, Inc."
6569,GE Healthcare Inc.
3500,"Physicians Total Care, Inc."
3049,A.M. Home Diagnostics Inc. dba Healthline
8176,State of Florida DOH Central Pharmacy
4952,"PD-Rx Pharmaceuticals, Inc."
8774,"Physicians Total Care, Inc."
9080,"Lupin Pharmaceuticals, Inc."
5359,"Shopko Stores Operating Co., LLC."
1590,Cardinal Health
3012,Rebel Distributors Corp
4493,KINeSYS Pharmaceutical Inc.
8417,"NATURE REPUBLIC CO., LTD."
1326,L. Perrigo Company
8643,HyVee Inc
9540,Target Corporation
3451,Dr. Reddy's Laboratories Limited
6326,Par Pharmaceutical Inc.
8612,Rebel Distributors Corp
9776,Cadila Healthcare Limited
8011,Vi-Jon
9259,"H.J. Harkins Company, Inc."
3210,Laboratoires Clarins S.A.
3773,Fresenius Medical Care North America
9310,Energetix Corp
1985,"Nelco Laboratories, Inc."
9363,TARGET
8363,"Nelco Laboratories, Inc."
1468,"Shopko Stores Operating Co., LLC"
1648,King Bio Inc.
7086,IASO Inc
2156,Kroger Company
1105,REMEDYREPACK INC.
3401,Northstar Rx LLC
1433,Walgreens
5505,Reckitt Benckiser LLC
1233,Unit Dose Services
3255,Walgreen Company
5001,"Allermed Laboratories, Inc."
4643,"Physicians Total Care, Inc."
1201,Diversified Global Technologies DBA Diversified Distribution
2168,Home Sweet Homeopathics
7919,Bonita Pharmaceuticals LLC
4761,REMEDYREPACK INC.
3321,"ALK-Abello, Inc."
4567,Novartis Pharmaceuticals Corporation
4151,Bryant Ranch Prepack
3230,REMEDYREPACK INC.
1908,"Physicians Total Care, Inc."
9770,Contract Pharmacy Services-PA
1077,"SEINDNI CO., LTD."
8946,MarcasUSA LLC
5477,TYA Pharmaceuticals
2004,West-Ward Pharmaceutical Corp.
1638,"Monroe Welding Supply, Inc."
1825,Target Corporation
8248,Ecolab Inc.
2203,"Antigen Laboratories, Inc."
1858,West-ward Pharmaceutical Corp.
6055,Unit Dose Services
2495,Walgreens
1316,NANTONG JIDESHENG BIOLOGY HEALTH CARE PRODUCTS CO LTD
2801,"BioComp Pharma, Inc."
6258,"Prime Packaging, Inc."
6107,VIATREXX BIO INCORPORATED
2170,Mangiacotti Floral LLC
4261,Prometheus Laboratories Inc.
1019,REMEDYREPACK INC.
5548,Apotex Corp.
5492,"Physicians Total Care, Inc."
2772,"Physicians Total Care, Inc."
7612,Major Pharmaceuticals
4661,Cardinal Health
3983,ARAMIS INC.
5336,Unit Dose Services
4391,AMERICAN SALES COMPANY
3037,"Young Dental Manufacturing Co 1, LLC"
4753,E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.
9869,Natures Way Holding Co.
2119,Chain Drug Marketing Association Inc.
4868,Pain and Stress Center Products
9172,AbbVie Inc.
2788,"PD-Rx Pharmaceuticals, Inc."
9576,Rebel Distributors Corp
1921,Apotheca Company
4030,DUKAL CORPORATION
6875,Aidarex Pharmaceuticals LLC
2608,Cadila Healthcare Limited
7974,"Bio-Pharm, Inc."
9699,"Dermazone Solutions, LLC"
2646,Apotheca Company
1477,"General Injectables & Vaccine, Inc"
8532,Sunrider Manufacturing L.P.
3727,GlaxoSmithKline LLC
1981,DIRECT RX
3391,Wal-Mart
9026,"Antigen Laboratories, Inc."
5037,HyVee Inc
9563,"MSD Consumer Care, Inc."
4036,"International Medication Systems, Limited"
5542,Teton Outfitters LLC dba Klim Aggressive Sledwear
1115,Mylan Institutional Inc.
2802,Atco International
2673,Paramesh Banerji Life Sciences LLC
8356,Amneal Pharmaceuticals
6330,"Elizabeth Arden, Inc"
4769,"Lupin Pharmaceuticals, Inc."
3365,DZA Brands LLC
8720,Jubilant HollisterStier LLC
6940,"CorePharma, LLC"
5069,"Akrimax Pharmaceuticals, LLC"
2696,Labratoires Boiron
1785,"Best Sanitizer, Inc."
6831,A-S Medication Solutions LLC
9058,AbbVie Inc.
9364,Keraplast Technologies LLC
4817,"Henry Schein, Inc."
1899,Mission Hills S.A de C.V
1112,Migranade Inc.
4603,Uriel Pharmacy Inc.
3753,The Mentholatum Company
9769,Major Pharmaceuticals
1446,"Northwind Pharmaceuticals, LLC"
9616,A-S Medication Solutions LLC
9398,Meda Pharmaceuticals Inc.
8353,"Nelco Laboratories, Inc."
1185,"AvKARE, Inc."
5281,"Preferred Pharmaceuticals, Inc."
1489,King Bio Inc.
2172,Banner Pharmacaps
1739,"Nelco Laboratories, Inc."
4406,"Newton Laboratories, Inc."
3105,Cardinal Health
8560,AMOREPACIFIC
5983,"Rising Pharmaceuticals, Inc."
1263,Supervalu Inc
3197,"Allergy Laboratories, Inc."
4413,"Hisamitsu Pharmaceutical Co., Inc."
6557,Amneal Pharmaceuticals
3827,REMEDYREPACK INC.
7136,Parke-Davis Div of Pfizer Inc
6901,L'Oreal USA Products Inc
9463,Carroll Company
1908,"Bath & Body Works, Inc."
9000,"Aptalis Pharma US, Inc."
1908,Supervalu Inc
4589,Aidarex Pharmaceuticals LLC
4443,"NSE Products, Inc."
2832,"Fresenius Kabi USA, LLC"
2638,"Ventura Corporation, LTD"
5047,"Ventura Corporation (San Juan, P.R)"
3853,"Elizabeth Arden, Inc"
6991,Prasco Laboratories
2752,Cobalt Laboratories
5772,Procter & Gamble Manufacturing Company
3014,Clinical Solutions Wholesale
8182,Citron Pharma LLC
9203,Washington Homeopathic Products
6023,Uriel Pharmacy Inc.
6243,"Bath & Body Works, Inc."
6273,Cardinal Health
6973,Pfizer Laboratories Div Pfizer Inc
7420,Merck Sharp & Dohme Corp.
6813,Ventura International LTD
5605,TARGET Corporation
8534,Mission Pharmacal Company
5328,Zee Medical
9080,Macleods Pharmaceuticals Limited
