DPhenotypeID;DiseaseDomainID
5795017;35614
62877461;12723
71369248;78281
63433095;33767
26914011;75938
97646915;83068
13446917;66490
72640118;59879
95772550;37665
74217086;39284
63290350;56954
16372195;78281
15540134;53948
33776684;57535
4798696;72309
25126957;47479
98473553;99778
3667133;43612
20923901;15756
11155524;47192
66020161;11398
94157159;46493
71372622;48230
60065189;10595
98759780;90642
71369248;66857
89703749;59825
62147604;47427
75849683;62399
50404821;23835
57556581;15473
92012038;67674
34115401;94937
76214135;97406
34321504;32300
8594645;70635
93039468;89480
93129214;63880
66580137;75129
30811150;48536
47156013;48458
67172629;94936
18926850;13722
47156013;37106
48476685;57545
57420166;30519
89703749;45434
17614506;11112
31635662;92567
47958845;97829
28988568;97829
34321504;68064
28709869;52429
89700416;97299
53819046;31888
44866787;95899
84231762;48168
9094315;55527
22026295;20581
8826042;92557
57556581;32462
39429532;88657
93129214;49122
59918800;69020
94288482;78661
37161652;87356
17614506;59050
24677983;67736
43521232;65214
59368252;92587
1312732;78281
94213981;43708
7661323;45976
63591222;98959
13410543;19471
63801682;69616
62751589;18507
43355641;19611
56905519;72372
37161652;44230
8594645;46962
62655042;77976
89292317;38265
12277982;94154
50387514;96738
47745584;52978
46418896;73425
40519932;86477
12656478;33495
48149250;90637
89700416;37803
78300811;25818
7122716;45970
79366594;51199
45451618;77211
82479405;16822
8557331;79518
22289690;13118
26707462;60645
22823140;59899
76123278;19926
25126957;24073
78692988;87701
93237854;77943
56682334;62169
76424446;31731
78493699;75987
45777016;51597
8557331;73896
48149250;64392
34321504;46040
15545578;31309
13364367;78254
87905053;80362
34049285;58727
78840843;91081
90189480;80957
27606998;72828
96082838;35524
81625485;38975
92316341;82932
95070741;92567
92562698;26567
6614114;80389
83948955;56473
65580274;80171
23200151;45434
69542009;92567
48296095;66688
43990753;68429
75113101;71784
79790663;77046
78692988;15899
88795948;65550
63944894;92481
71672170;49389
22026295;63880
28988568;64334
71966592;15899
15390025;50045
99398479;79522
55547094;26266
64590598;25909
37161652;27893
56682334;70116
26445865;49440
14912435;86492
41163147;44751
84059324;27443
22425197;76591
92562698;76330
60788709;68743
54226051;69035
28740086;78767
44518399;10041
94747388;94384
60290690;39004
26069769;70752
33924088;38990
80627300;53724
73960066;20012
16720935;42767
31635662;78915
49085491;34441
33401065;63646
63433095;25775
60290690;28039
27316556;59964
98331265;78254
36407870;77901
27606998;63306
16613978;32496
32639623;24349
77167969;90642
46581193;77976
89292317;78007
60290690;69239
40552101;19630
64095666;22953
42506697;79602
28230804;42894
43990753;23835
69511056;60995
49262226;65214
20054858;17842
54226051;53671
95385543;32909
76123278;99864
34946578;86718
2582184;53960
79790052;77211
93237854;47212
62768460;78915
72640118;22725
29215979;38326
92562698;94065
3436156;49612
64348767;61236
98649938;76650
27316556;80358
37991046;16867
34946578;32882
12798764;70161
11637266;18181
86268559;26463
67697813;58631
29373761;61236
22119315;35749
75113101;74833
48476685;37235
94492932;11107
4505061;46040
49263868;87095
81466141;50415
15545578;99251
43190706;75921
71138349;94906
67172629;60536
12008896;19845
86487950;90673
9094315;95521
71372622;96588
44946889;17211
23773408;93581
72640118;73419
82868413;68429
25126957;11826
44033163;72291
55547094;15469
96810636;67315
4578613;98563
17304277;60074
27606998;17132
12656478;27441
80627300;86057
93801161;60778
49085491;74280
17260126;96713
47977030;69120
55547094;63352
67697813;75691
74321777;90642
34746969;65654
89033300;68064
19222186;42226
73613006;86817
87833372;90836
89544637;10336
78493699;89391
62901672;90925
83068074;78767
53420940;43538
9327576;67736
35205079;33938
56438011;99778
7412763;37857
54497411;58810
34726900;37235
57335107;76432
78692988;64169
40783664;27077
48296095;60113
91697155;39359
36407870;32909
8573812;30629
2574238;38614
84407473;59620
67607815;87786
68915095;26393
49262226;73707
84564444;39004
39292055;27393
15462901;15469
25697005;30387
87475316;65242
95772550;29622
78917329;43091
41839121;34644
60065189;14471
42129353;68881
82735533;48003
59240351;97406
56176484;89250
2582184;83882
54033538;88913
82868413;66123
83856149;45250
49388415;73212
67551805;15552
17304277;18203
25528714;92498
22307816;47427
82517449;57833
12277982;68881
33923829;10091
99876461;26449
90189480;47192
30389531;67396
49457118;69020
28639688;82521
69956505;99825
70917864;92567
88122342;92020
99417788;42767
30811150;42938
32625789;31309
24103076;47238
43521232;21002
95772550;88251
4798696;15552
87475316;22480
7661323;59455
87546643;27077
70340492;94065
42506697;60995
26328519;70735
30346518;89716
30065808;82060
93787661;57561
18286667;70176
14912435;18781
79790663;26393
31634115;87281
7009481;40018
94213981;83397
80456143;12784
87471822;57561
83068074;89716
42129353;43538
