ICDCodeID;ICDCode;ICDType;ICDDesc
919591;T4591XS;procedure;Poisn by unsp prim sys and hematolog agent, acc, sequela
707392;V841;diagnosis;Passenger of special agricultural vehicle injured in traf
236531;S66492D;procedure;Inj intrinsic musc/fasc/tend left thumb at wrs/hnd lv, subs
963288;V0590XA;procedure;Ped on foot injured in collision w rail trn/veh, unsp, init
555336;S33131A;procedure;Dislocation of L3/L4 lumbar vertebra, initial encounter
959850;T7691XS;diagnosis;Unspecified adult maltreatment, suspected, sequela
207404;S62026A;procedure;Nondisp fx of middle third of navic bone of unsp wrist, init
397581;T43015D;procedure;Adverse effect of tricyclic antidepressants, subs encntr
345793;V0909XA;diagnosis;Pedestrian injured nontraf involving oth mv, init
138983;V9543XS;procedure;Spacecraft collision injuring occupant, sequela
979786;S92902S;procedure;Unspecified fracture of left foot, sequela
392274;T3171;diagnosis;Burns of 70-79% of body surface w 10-19% third degree burns
932859;S72323P;procedure;Displ transverse fx shaft of unsp femr, 7thP
376797;T45524D;procedure;Poisoning by antithrombotic drugs, undetermined, subs encntr
109683;S98121D;diagnosis;Partial traumatic amputation of right great toe, subs encntr
722240;S91051;diagnosis;Open bite, right ankle
298378;S92014S;procedure;Nondisplaced fracture of body of right calcaneus, sequela
163318;T25699A;procedure;Corrosion of second degree of unsp ankle and foot, init
560646;S28229D;diagnosis;Partial traumatic amputation of unsp breast, subs encntr
337338;H52221;procedure;Regular astigmatism, right eye
679576;T43013;diagnosis;Poisoning by tricyclic antidepressants, assault
115988;E049;diagnosis;Nontoxic goiter, unspecified
517034;M25312;procedure;Other instability, left shoulder
888725;S92009K;procedure;Unsp fracture of unsp calcaneus, subs for fx w nonunion
470966;S72499Q;procedure;Oth fx low end unsp femr, 7thQ
474534;F18951;diagnosis;Inhalant use, unsp w inhalnt-induce psych disord w hallucin
597170;V464XXA;procedure;Prsn brd/alit a car injured in clsn w nonmtr vehicle, init
164000;S82873G;diagnosis;Displaced pilon fx unsp tibia, subs for clos fx w delay heal
754945;B10;procedure;Other human herpesviruses
506615;S93106A;procedure;Unspecified dislocation of unspecified toe(s), init encntr
712383;T2142;diagnosis;Corrosion of unspecified degree of abdominal wall
875213;E1062;diagnosis;Type 1 diabetes mellitus with skin complications
947360;S5257;procedure;Other intraarticular fracture of lower end of radius
213544;S31122A;diagnosis;Lacerat abd wall w fb, epigst rgn w/o penet perit cav, init
312737;S8609;diagnosis;Other specified injury of Achilles tendon
645539;T81504A;procedure;Unsp comp of fb acc left in body following endo exam, init
589103;S92242D;procedure;Disp fx of med cuneiform of l foot, subs for fx w routn heal
661571;T507X5S;diagnosis;Advrs effect of analeptics and opioid receptor antag, sqla
693157;S63260A;procedure;Dislocation of MCP joint of right index finger, init
551764;S72454A;diagnosis;Nondisp suprcndl fx w/o intrcndl extn lower end r femr, init
473737;S63522S;diagnosis;Sprain of radiocarpal joint of left wrist, sequela
441042;S48912S;procedure;Complete traum amp of left shldr/up arm, level unsp, sequela
632404;M13112;procedure;Monoarthritis, not elsewhere classified, left shoulder
262519;S99049;procedure;Sltr-haris Type IV physeal fracture of unspecified calcaneus
279535;G254;procedure;Drug-induced chorea
501512;S62335K;diagnosis;Disp fx of nk of 4th MC bone, l hand, subs for fx w nonunion
759967;S21341D;diagnosis;Pnctr w fb of r frnt wl of thorax w penet thor cavity, subs
420488;S71031S;diagnosis;Puncture wound without foreign body, right hip, sequela
931717;S20309;procedure;Unsp superficial injuries of unsp front wall of thorax
168481;Y0809XA;diagnosis;Assault by strike by oth type of sport equipment, init
134332;T384X1A;procedure;Poisoning by oral contraceptives, accidental, init
216559;S91049;diagnosis;Puncture wound with foreign body, unspecified ankle
127427;M02269;procedure;Postimmunization arthropathy, unspecified knee
845498;S3160;procedure;Unsp open wound of abdominal wall w penet perit cav
965453;S00401D;diagnosis;Unspecified superficial injury of right ear, subs encntr
252750;S92013B;diagnosis;Disp fx of body of unsp calcaneus, init for opn fx
538978;S79111S;procedure;Sltr-haris Type I physeal fx lower end of r femur, sequela
359144;Z96652;procedure;Presence of left artificial knee joint
131401;S42249P;diagnosis;4-part fx surg neck of unsp humerus, subs for fx w malunion
683324;S42436G;procedure;Nondisp fx of lateral epicondyl of unsp humer, 7thG
757776;M84811;diagnosis;Other disorders of continuity of bone, right shoulder
680631;A5006;procedure;Early cutaneous congenital syphilis
961611;R402252;diagnosis;Coma scale, best verbal response, oriented, EMR
460346;S0266XD;diagnosis;Fracture of symphysis of mandible, subs for fx w routn heal
365707;M62172;diagnosis;Other rupture of muscle (nontraumatic), left ankle and foot
858030;S32409K;procedure;Unsp fracture of unsp acetabulum, subs for fx w nonunion
690092;H73829;diagnosis;Atrophic nonflaccid tympanic membrane, unspecified ear
321954;S92811B;diagnosis;Other fracture of right foot, 7thB
393776;S32613D;procedure;Displaced avulsion fx unsp ischium, subs for fx w routn heal
116091;S37092;diagnosis;Other injury of left kidney
860971;S0123;diagnosis;Puncture wound without foreign body of nose
108780;S66597;diagnosis;Inj intrinsic musc/fasc/tend l little finger at wrs/hnd lv
740447;S63054;diagnosis;Dislocation of other carpometacarpal joint of right hand
740831;K9172;procedure;Acc pnctr & lac of a dgstv sys org during oth procedure
362434;S42155P;diagnosis;Nondisp fx of nk of scapula, l shldr, subs for fx w malunion
802400;S36519S;procedure;Primary blast injury of unspecified part of colon, sequela
598977;H49819;procedure;Kearns-Sayre syndrome, unspecified eye
267999;S90441A;procedure;External constriction, right great toe, initial encounter
284644;S0045;procedure;Superficial foreign body of ear
685739;H44703;diagnosis;Unsp retained (old) intraocular fb, nonmagnetic, bilateral
198095;V97818;diagnosis;Other air transport accident involving military aircraft
475637;S82234;procedure;Nondisplaced oblique fracture of shaft of right tibia
826334;Y92011;diagnosis;Dining room of single-family (private) house as place
861491;T20011;diagnosis;Burn of unspecified degree of right ear
617312;W5929XD;procedure;Other contact with turtle, subsequent encounter
900000;R870;diagnosis;Abn lev enzymes in specimens from female genital organs
718142;S52324D;diagnosis;Nondisp transverse fx shaft of r rad, 7thD
510387;M21219;diagnosis;Flexion deformity, unspecified shoulder
734342;T17228;procedure;Food in pharynx causing other injury
706295;S00479A;diagnosis;Other superficial bite of unspecified ear, initial encounter
317956;Y380X3S;diagnosis;Terorsm w explosn of marine weapons, terrorist inj, sequela
933748;T8211;procedure;Breakdown (mechanical) of cardiac electronic device
360312;S42352A;diagnosis;Displaced comminuted fx shaft of humerus, left arm, init
404296;Y9344;procedure;Activity, trampolining
525068;S45292;procedure;Oth injury of axillary or brachial vein, left side
361200;H5006;diagnosis;Alternating esotropia with A pattern
462274;P81;procedure;Other disturbances of temperature regulation of newborn
983100;S82235M;diagnosis;Nondisp oblique fx shaft of l tibia, 7thM
117665;S82126J;diagnosis;Nondisp fx of lateral condyle of unsp tibia, 7thJ
710191;F642;diagnosis;Gender identity disorder of childhood
407943;S92236A;procedure;Nondisp fx of intermediate cuneiform of unsp foot, init
747540;S62345;procedure;Nondisp fx of base of fourth metacarpal bone, left hand
206387;T8241;procedure;Breakdown (mechanical) of vascular dialysis catheter
926901;S66522A;diagnosis;Lacerat intrns musc/fasc/tend r mid fngr at wrs/hnd lv, init
899670;O2631;diagnosis;Retained uterin contracep dev in pregnancy, first trimester
464962;R1083;procedure;Colic
167508;S82156K;diagnosis;Nondisp fx of unsp tibial tuberosity, 7thK
350695;M89362;procedure;Hypertrophy of bone, left tibia
595151;T22769A;procedure;Corrosion of third degree of unsp scapular region, init
973494;S52245Q;diagnosis;Nondisp spiral fx shaft of ulna, l arm, 7thQ
469495;H52212;procedure;Irregular astigmatism, left eye
130727;S27491A;procedure;Other injury of bronchus, unilateral, initial encounter
331745;R5381;procedure;Other malaise
163678;O2359;procedure;Infection of other part of genital tract in pregnancy
362157;S42447D;procedure;Incarcerated fx of med epicondyl of r humer, 7thD
386600;S32052K;procedure;Unstable burst fx fifth lum vertebra, subs for fx w nonunion
367401;G311;procedure;Senile degeneration of brain, not elsewhere classified
877896;S65912D;procedure;Lacerat unsp blood vessel at wrs/hnd lv of left arm, subs
359145;S82892A;procedure;Oth fracture of left lower leg, init for clos fx
558068;X0811;procedure;Exposure to sofa fire due to burning cigarette
663101;M84379K;procedure;Stress fracture, unsp toe(s), subs for fx w nonunion
972638;X810;diagnosis;Self-harm by jumping or lying in front of motor vehicle
614171;S43223S;diagnosis;Posterior subluxation of unsp sternoclav jt, sequela
887380;S06309;procedure;Unsp focal TBI w loss of consciousness of unsp duration
217563;S75911D;diagnosis;Lacerat unsp blood vess at hip and thi lev, right leg, subs
574878;S61335;diagnosis;Pnctr w/o foreign body of l rng fngr w damage to nail
165658;M84419D;diagnosis;Path fracture, unsp shoulder, subs for fx w routn heal
882953;Q900;procedure;Trisomy 21, nonmosaicism (meiotic nondisjunction)
767292;O318X23;procedure;Oth comp specific to multiple gest, second tri, fetus 3
882423;C7A025;procedure;Malignant carcinoid tumor of the sigmoid colon
381446;W500;procedure;Accidental hit or strike by another person
816508;S42302A;diagnosis;Unsp fracture of shaft of humerus, left arm, init
837682;T43222S;diagnosis;Poisn by slctv serotonin reuptake inhibtr, slf-hrm, sequela
139079;T564X2D;diagnosis;Toxic effect of copper and its compounds, self-harm, subs
379517;O2909;diagnosis;Other pulmonary complications of anesthesia during pregnancy
626082;W3081XS;diagnosis;Contact w agri transport vehicle in stationary use, sequela
425045;S68119A;procedure;Complete traumatic MCP amputation of unsp finger, init
679908;Q870;diagnosis;Congen malform syndromes predom affecting facial appearance
686585;T480X5D;procedure;Adverse effect of oxytocic drugs, subsequent encounter
648723;T50994S;procedure;Poisoning by oth drug/meds/biol subst, undetermined, sequela
139319;O692;procedure;Labor and delivery comp by oth cord entangle, w compression
729226;S82462S;procedure;Displaced segmental fx shaft of left fibula, sequela
681907;S90453S;diagnosis;Superficial foreign body, unspecified great toe, sequela
862790;S71101S;diagnosis;Unspecified open wound, right thigh, sequela
942313;S62322G;diagnosis;Disp fx of shaft of 3rd MC bone, r hand, 7thG
685978;T63301D;diagnosis;Toxic effect of unsp spider venom, accidental, subs
773077;S52241J;procedure;Displ spiral fx shaft of ulna, r arm, 7thJ
704160;S52335N;diagnosis;Nondisp oblique fx shaft of l rad, 7thN
874602;O6981X3;procedure;Labor and del comp by cord around neck, w/o comprsn, fetus 3
327674;V9181XA;diagnosis;Oth injury due to oth accident to passenger ship, init
