LPhenotypeID;LabType;Units;MinResult;MaxResult;ResultSet
20683334;Music;THB;16847.70555;73185.0949;jcb
87848550;Health;RUB;29418.9241;99285.45725;jcb
37570516;Beauty;RUB;4057.77738;93414.31891;visa-electron
22823140;Outdoors;CZK;1381.96494;89461.93169;jcb
66975468;Clothing;CNY;23063.98402;84129.65808;americanexpress
53688395;Movies;EUR;34065.59319;79227.24582;jcb
49751942;Music;EUR;24193.24171;68669.36461;jcb
27606998;Electronics;RUB;16491.34162;76613.74058;jcb
1811429;Jewelery;PEN;35905.48025;52487.19622;maestro
11969688;Baby;EUR;9506.77908;73531.99636;maestro
69466842;Games;RUB;3373.28935;65538.75496;jcb
68330520;Clothing;CNY;26597.55389;80435.18827;jcb
20503400;Sports;CNY;5103.83049;71868.54121;mastercard
97232420;Home;PHP;5427.42281;54299.22992;jcb
18286667;Garden;KRW;17297.50987;67140.84099;jcb
82569441;Grocery;AMD;44364.25701;51728.47261;jcb
9484880;Tools;CNY;30007.21591;97859.77725;bankcard
3907416;Kids;EUR;676.06577;54168.17946;diners-club-enroute
27908049;Electronics;EUR;25202.56649;55648.03337;jcb
33450913;Electronics;EUR;6767.55071;80189.21263;jcb
7749556;Automotive;AFN;31511.74114;85400.95869;mastercard
48726308;Jewelery;PLN;27717.70502;77707.74746;jcb
75682489;Movies;EUR;17346.8279;93802.2359;jcb
6688744;Kids;PHP;17634.79114;99881.44733;bankcard
10640696;Electronics;VND;21300.85937;74049.55967;china-unionpay
40043824;Tools;IDR;5149.18786;71851.27305;mastercard
24627736;Automotive;LKR;9606.21837;66181.36223;jcb
84231762;Shoes;XOF;36685.94135;75871.35244;maestro
34762080;Games;COP;34604.05063;59046.99017;jcb
23554844;Movies;ARS;37900.485;53809.80007;jcb
20158802;Computers;LTL;15673.0368;53438.28549;americanexpress
30721995;Home;USD;22188.94325;55400.50176;maestro
61343700;Kids;EUR;18787.62641;58679.60017;switch
2582184;Tools;ETB;38412.00078;71401.12652;jcb
43813594;Automotive;SYP;12633.96113;84751.29819;jcb
49596396;Home;CNY;34390.36761;85983.19523;visa
59631848;Grocery;MAD;5468.79991;93784.34145;maestro
84620935;Outdoors;COP;5036.96803;99274.48674;solo
88122342;Kids;IRR;18649.25665;81402.86316;mastercard
71617619;Computers;HRK;12315.07674;75174.96956;jcb
28720844;Music;KRW;3876.68759;80952.74077;jcb
47745584;Clothing;HNL;11879.39107;69766.31236;jcb
68507500;Grocery;VND;33205.29006;68261.54489;mastercard
99148785;Toys;EUR;7432.45291;52556.43392;switch
43190706;Industrial;RUB;31741.39373;98152.4842;jcb
28673223;Tools;UYU;44371.85616;77786.21955;jcb
60854920;Sports;BRL;29222.17191;57506.53871;mastercard
46437382;Tools;PLN;40042.58921;82222.37555;mastercard
21610224;Home;BRL;32951.08592;62498.831;jcb
94288482;Automotive;VND;28512.71878;96732.65334;bankcard
66799088;Jewelery;EUR;48055.87629;92506.25955;switch
7764181;Baby;COP;7315.83731;97775.16073;jcb
64251929;Games;BRL;2779.37393;94923.37858;china-unionpay
63386886;Electronics;CNY;44436.57903;99071.09611;jcb
44357451;Health;MGA;599.49479;73506.08902;jcb
52259700;Games;SYP;12893.93325;62599.25077;jcb
51893856;Music;PHP;25325.58735;70257.0045;jcb
97354139;Computers;ARS;11317.09941;51674.45217;bankcard
46034217;Music;NZD;15693.275;99810.23068;diners-club-carte-blanche
63591222;Beauty;MXN;21992.22054;96925.18565;instapayment
1869144;Sports;CNY;37462.23779;71052.30197;jcb
94788842;Toys;EUR;20572.09098;59581.77393;jcb
82735533;Shoes;THB;20344.44644;95646.35179;jcb
84059324;Movies;IDR;40647.44661;53297.0913;mastercard
11157900;Books;HRK;17413.36003;76973.55075;laser
76954740;Baby;IDR;39054.5595;50542.09926;americanexpress
13247746;Automotive;PHP;19916.28524;81833.24327;jcb
17997606;Electronics;BRL;35148.28251;62265.70048;jcb
50586126;Garden;PHP;14593.22129;97081.36863;jcb
23610582;Toys;RUB;49721.08536;67710.51102;mastercard
6352134;Electronics;PHP;15418.64457;51007.41327;americanexpress
26069769;Movies;CNY;29155.36625;83740.13984;jcb
82965379;Sports;CNY;16045.64212;53202.83033;americanexpress
55578308;Toys;ILS;29213.17894;95068.1823;laser
9094315;Music;CNY;30073.58522;61544.55237;maestro
11379545;Shoes;PLN;34676.64904;82048.35686;americanexpress
61733127;Automotive;NGN;19201.98985;84219.34692;china-unionpay
40124658;Garden;PHP;4035.39469;90857.96539;jcb
91307919;Garden;PEN;21002.85252;89805.80893;mastercard
95696596;Music;KZT;46391.11087;50210.15247;jcb
81916590;Health;UAH;331.58144;89655.5619;china-unionpay
80464791;Music;IDR;9606.40068;91169.31518;jcb
13563239;Electronics;EUR;4352.12203;74538.89857;maestro
86055965;Electronics;RUB;32192.76688;77076.21218;mastercard
15012367;Shoes;RSD;21918.16523;72778.4702;jcb
33760509;Computers;CNY;39690.38076;88957.27575;jcb
22425197;Garden;JPY;26282.36135;58101.17826;jcb
42891006;Jewelery;PHP;28940.10819;50947.62542;jcb
27642513;Tools;IQD;4248.10081;62703.97509;jcb
99745741;Clothing;AFN;3577.12681;84847.18872;jcb
28479259;Home;NGN;47801.59467;54715.29033;jcb
66960027;Shoes;BRL;21371.19647;57093.33521;maestro
35739004;Computers;XOF;23669.91731;67329.08287;jcb
18926850;Beauty;BRL;36645.41955;53215.21257;jcb
81272952;Tools;PHP;14341.00172;53903.19587;jcb
36609593;Tools;IDR;30297.37075;70195.36335;visa
11155524;Baby;SEK;23150.13176;72495.1772;jcb
26069769;Baby;IDR;21763.31083;52646.53809;jcb
56631042;Games;JPY;23583.54521;56968.60192;diners-club-enroute
37570516;Home;CNY;14549.87035;77590.49282;jcb
66975468;Outdoors;ARS;46096.3153;50367.34324;jcb
68761604;Music;CNY;25865.14986;95881.50785;jcb
53873109;Sports;ILS;46793.41502;55488.05793;diners-club-carte-blanche
76824063;Tools;COP;37809.90013;96749.36877;diners-club-us-ca
27002870;Movies;CNY;40697.15074;88310.08339;mastercard
43937582;Tools;ETB;40380.54882;68600.51211;jcb
70239653;Kids;PHP;29790.34878;53471.64241;jcb
79790052;Grocery;RUB;17929.07603;60541.63266;jcb
10886826;Games;JOD;46036.84127;89285.75619;mastercard
61139509;Grocery;USD;28516.29634;58759.31671;mastercard
10734403;Grocery;BRL;13926.5038;97285.34548;diners-club-enroute
38564411;Industrial;RUB;48378.41285;52261.01094;jcb
28720844;Grocery;EUR;48342.98536;72223.0343;visa-electron
43937582;Home;CZK;20138.30776;80636.66736;maestro
35909788;Sports;CNY;27359.54836;92962.83062;jcb
88461606;Kids;USD;40554.34243;80023.36254;switch
78416543;Books;CNY;10036.69102;90546.10801;diners-club-enroute
91307919;Books;MNT;40143.64941;81502.30247;switch
64967874;Toys;EUR;25416.7432;53125.23951;solo
78493699;Sports;CNY;6245.42749;67172.27631;jcb
47977030;Kids;ARS;27891.54699;71382.44907;mastercard
49781839;Jewelery;EUR;47333.96335;57414.3333;visa-electron
18000705;Shoes;CNY;11959.43785;66123.47513;mastercard
17614506;Beauty;EUR;17804.95608;70933.33347;switch
36407870;Health;BRL;46646.71833;78026.51409;americanexpress
15462901;Grocery;BRL;31108.29806;50361.2047;china-unionpay
22289690;Tools;USD;31598.91415;58801.8041;jcb
