LPhenotypeID;LOINCID
39429532;8406786
46249516;9437131
85088386;8214552
99094220;1697711
84160892;9901714
42041824;2453634
23678844;1564101
58500129;6173375
28521032;7337639
4007022;9579545
79193027;1417109
7764181;6816240
6917526;3625480
18949459;2942042
67780129;5939495
2386464;3524382
30721995;9029729
78917329;6761975
3372670;6976540
71027622;7333909
23554844;4314641
44866787;3578429
24677983;9568400
63386886;1794861
66020161;7806924
7865729;4524095
59040089;5297811
63805984;3322293
42129353;3369501
7009481;4832114
39265766;8572368
15967966;4471140
62948921;8606612
51832436;5967555
15390025;1480892
97444364;3167216
6688744;7509679
49434587;2442937
6688744;1929499
90462014;2632024
5795017;5813242
51828952;4926438
69511056;3665472
33401065;9707076
62096981;9576189
99745741;9901714
17548326;5802240
9609973;9553326
84160892;1037293
76589059;5813242
69511056;5256328
45243218;8299207
6310117;5584312
94157159;5524815
88461606;4022147
86487950;5669716
97444364;1261017
38974362;3081737
17795807;5605317
26816415;7250992
67745201;9036688
82312347;1480892
79169530;4314641
48520821;6583735
66026320;7043596
15540134;4278661
6310117;5757015
30035248;6822579
82157222;7784515
12744121;6183632
3372670;7509679
24815391;9673943
81272952;2342748
9484880;8077489
79366594;6173375
44357451;1305480
12954255;6078853
97567575;8109607
83652009;3508642
28479259;7718752
6741074;6737018
46034217;9472109
12744121;8368331
7764181;5655594
30035248;9426493
70662917;7891747
74594018;7343316
17685763;8818750
4505061;6190980
3907416;5618643
68330520;9886172
26850957;7602659
11157900;3012651
11969688;1260436
49073119;2006999
86487950;1387267
17997606;4230088
6741074;2096713
63386886;1877400
93586131;3009326
33760509;8702617
36798225;6144807
26069769;1014942
33776684;6620346
27938808;4601736
62877461;4797669
71027622;2632024
95696596;7802170
6083236;8349560
67780129;8892312
41769046;5704954
51135223;1694364
30811150;7691082
93586131;6822579
38974362;3788320
21767408;5775373
65720675;4601736
6352134;5708072
97100516;3975378
45324089;2239176
15084609;9553326
65052364;3099823
13563239;9512163
62672072;8214552
69046666;3922068
62751589;2144184
84059324;6616325
57335107;8606612
40124658;6383681
9290778;1426620
73613006;4443038
58500129;6973702
48580893;8572368
88873765;9553326
98649938;4363140
91307919;4926438
7749556;5067113
1811429;2054269
88795948;2066476
71593595;2043188
76214135;5781967
50404821;7025997
88461606;5709436
84059324;9916167
6083236;5709436
99094220;9916167
41361481;3788320
99398479;5547802
85088386;2215721
62505040;1858278
38564411;8299207
32099150;6822579
84850089;1890629
90489166;3922068
15196819;4523129
4998708;9524490
2121517;9426493
93735971;3167216
71027622;7298066
48580893;2792001
13247746;8244573
30811150;3306616
2067518;9733660
61343700;2027700
37161652;8016590
59935970;1471062
39429532;6992442
30837877;6434105
1513366;2839138
83948955;2118385
83578758;2102245
37877141;6078325
42578714;6770611
68846757;9794841
85088386;1387267
41631615;2124371
