AuthorID;PhenotypeID
18822;38237426
93202;6688744
56085;61849023
66449;66422021
55136;63944894
42580;54314461
16438;40043824
72017;25605297
81103;84271689
57051;70917864
86406;48476685
24152;28093503
47325;29500411
79630;67697813
67964;44033163
56287;34324742
96918;45243218
69862;53420940
85718;59821672
56854;29500411
32764;70908850
26710;75682489
13861;39482790
70261;57239765
46045;64348767
46045;3211075
26674;36629081
57978;89615127
81604;87833372
79573;48580893
50577;28061888
81325;26795020
30519;66960027
24647;99370248
70261;34165074
94624;89544637
34574;76123278
78036;15346538
11666;70239653
72399;57410970
97336;22119315
54868;93586131
40037;1324527
57883;35484798
12874;90832476
27014;31634115
70622;11155524
79118;82735533
35163;81661455
28511;31034575
41625;2067518
90994;81993744
39904;63801682
48600;94288482
22754;43927325
79644;24627736
47494;13410543
83741;60904730
49236;92956070
66091;22307816
51119;63801682
56502;31284433
97456;69466842
99128;68761604
15905;33617192
90609;60854920
78616;37660647
75315;28064207
91343;63290350
45192;86662580
39904;22307816
93332;21999144
48381;62751589
65858;12954255
14583;18286667
93671;55547094
96444;26914011
47546;21999144
82402;54314461
12057;82970133
78931;84564444
48523;15649949
37236;39598964
70301;74483233
15599;17007871
57978;51135223
78649;81028216
83312;40783664
98724;79169530
80546;13892267
71444;82517449
70579;60952318
84499;40492274
36038;33149771
21300;22026295
59489;83795173
79538;26816415
28161;26795020
27859;54356705
58855;62147604
19156;95567656
63641;6741074
71418;38564411
98670;21553493
73182;54497411
88803;51618793
98670;94358019
52574;12008896
66286;51618793
34697;84620772
27762;86055965
58403;6310117
28438;24512874
11562;36217745
52285;75113101
79468;71922760
20382;84433507
98986;35455950
27757;17121938
27402;47594046
67841;34321504
19259;14503243
38077;17997606
80615;68846757
81103;38974362
71548;44518399
29151;45243218
13467;67697813
78295;52974640
35302;10206726
13376;68842882
71119;34115401
72869;73897265
66022;43939793
55558;85173758
90251;71300261
91343;29215979
89063;91307919
91810;20923901
30837;81272952
12057;92643598
19302;7764181
89762;37762229
70301;43981627
82977;56682334
36686;38564411
93202;73897265
41547;89703749
84427;75321301
31781;49388415
77862;11531832
59039;74812244
81077;54033538
61787;86537422
10408;46034217
45710;69542009
68480;23675378
29537;78656283
84837;10640696
84860;87833372
50411;60904730
77648;26578778
93050;48982674
83554;93298300
16059;64967874
22252;21553493
51084;68846757
60826;57125330
47578;70248928
48505;43006844
99784;83068074
38594;34115401
50601;39643235
41547;27771657
32818;4986366
88305;1575900
44931;11094538
33302;26069769
16428;2522683
91343;69056403
51084;30694061
16227;13312260
19042;81865634
78706;26816415
50851;9609973
55994;19468788
93349;2058383
40230;11705467
27532;39558574
84197;89033300
97650;76123278
42093;9781898
98627;88122342
77071;30540821
16227;40783664
79468;78089661
18809;66020161
55000;44518399
41732;28988568
84230;15644359
47059;49932615
93174;64442326
37338;69071528
84499;81661455
39115;51880162
21410;71593595
37985;57525161
25167;39080071
47065;71138349
79118;63801682
20553;15346538
99523;93129214
51119;45750508
24948;73960066
23119;59040089
36686;86627811
84427;81028216
11947;92643598
47578;20158802
72515;18926850
89626;21999144
40316;56631042
86609;73479520
24002;28064207
57051;75695762
16507;28720844
80362;66120417
76480;22026295
63561;63805984
10117;97646915
24647;28639688
32781;67309785
93011;80626157
48223;68172205
72340;86436664
90251;43829472
71418;21999144
67112;38045566
67134;10883487
99598;1525338
12129;48296095
18102;6530193
83963;6310117
97714;34115401
93514;80087617
40583;45659756
12857;2067518
40865;17007871
57382;67551805
26611;90006035
61303;90462014
42006;80760247
50557;84564444
85534;25605297
45192;80626157
13782;66985423
45649;84407473
84427;7172318
41153;90189480
53383;62516022
33638;22720730
27404;40852475
94244;35455950
48381;9352487
83963;59238143
30449;49596396
56953;91692938
71532;56438011
80863;64185484
79630;75695762
32044;62667364
36805;60866687
95698;64185484
58855;13892267
28511;11637266
12405;25063804
75823;1869144
43878;7009481
50577;24512874
26710;62948921
48939;97444364
46811;44866787
50460;10110858
21450;78416543
35469;95696596
31576;73897265
25523;83491616
87545;28720844
36453;5122731
35469;49262226
75991;97646915
59938;83795173
12129;7865729
29156;30694061
11044;33776684
23119;51580921
54375;34215455
98321;70239653
53640;87905053
93548;23398755
30983;24627736
74894;22026295
58171;80760247
31006;44866787
50557;7865729
98634;88012661
64711;42416975
18716;4578613
85353;93061961
55537;81993744
44337;18000705
79468;41750368
57934;68577743
97824;49652250
80939;91205510
74610;93904753
59651;52875660
98967;30393581
98473;63290350
78931;39292055
50373;82059726
98967;59368252
70490;84564444
22754;21767408
90947;42578714
26214;66985423
89762;37762229
93548;37570516
90436;66985423
88410;50387514
16555;7749556
50460;60902695
15673;74594018
62754;96810636
37601;51880162
37601;44357451
20229;5591139
77605;75695762
51237;26328519
98103;21553493
46431;45243218
35469;14853137
35163;15653697
90191;33450913
96018;31706329
50601;44547012
46697;15653697
68593;84160892
24863;42506697
62434;64967874
33786;76589059
13467;66975468
48867;51880162
41153;16613978
96018;33538398
24638;37991046
40296;32639623
98634;59471823
79033;50112329
98103;67896900
59938;6985433
47059;14853137
22130;51880162
11947;82802313
46811;94747388
33830;21767408
26556;69046666
88803;92012038
53375;61849023
60492;84160892
27757;51832436
49172;37762229
55286;44547012
93332;31770034
31444;23678844
36453;56718483
95814;84231762
97412;6688744
25840;48726308
88410;60290690
92207;39429532
40138;46094483
98342;4998708
88042;52187258
70490;95608480
81077;88527969
18798;39209288
81919;15390025
64566;66343093
82574;9781898
40732;67667953
42580;8557331
78815;32625789
78517;44866787
43288;76424446
56323;76516483
71042;59843475
19463;66222058
67331;44637612
71603;14853137
57038;99398479
62754;55421120
47078;47156013
22439;83795173
26214;19222186
47020;52875660
17855;44666818
47180;14853137
38978;94094448
51900;99766167
11884;33776684
32074;28230804
