PhenotypeID;PhenotypeName;PhenoDesc;DateAdded;LastModified;Status;Version;Type;PopulationID
63805984;Wattled crane;Bugeranus caruncalatus;2020-11-27 12:41:33;2020-11-28 12:41:33 UTC;In Progress;1;Demograpic;9518848
27198053;Collared peccary;Tayassu tajacu;2020-11-20 17:53:19;2020-11-21 17:53:19 UTC;Working Definition;1;LifeStyle_Envi;8761304
32564398;Australian magpie;Gymnorhina tibicen;2020-10-29 23:54:49;2020-10-30 23:54:49 UTC;Validated Phenotype;2;Demograpic;7294899
8452822;Magistrate black colobus;Colobus guerza;2020-05-04 22:06:05;2020-08-22 22:34:06;Working Definition;1;Vital;9440846
48520821;Gull, lava;Larus fuliginosus;2020-08-12 04:01:05;2020-08-13 04:01:05 UTC;In Progress;2;Disease;7333454
23773408;Lemur, lesser mouse;Microcebus murinus;2019-10-07 12:16:31;2020-03-14 03:05:45;Validated Phenotype;1;LifeStyle_Envi;6690211
57335200;Greater adjutant stork;Leptoptilus dubius;2020-01-14 04:06:23;2020-10-26 00:38:22;Working Definition;2;MedPhenotype;8671599
15196819;Antechinus, brown;Antechinus flavipes;2020-11-29 14:04:38;2021-02-23 09:15:57;Working Definition;3;Vital;9414530
15210154;Springbuck;Antidorcas marsupialis;2020-05-25 01:49:07;2020-08-07 07:40:55;In Progress;3;Lab;9599599
6688744;White-necked raven;Corvus albicollis;2020-02-05 05:35:45;2020-07-07 00:35:50;Validated Phenotype;2;Demograpic;8952757
3907416;Seal, northern elephant;Mirounga angustirostris;2019-10-10 22:15:43;2020-08-27 03:14:34;Validated Phenotype;2;LifeStyle_Envi;8040552
27938808;River wallaby;Macropus agilis;2020-07-12 17:32:15;2020-07-13 17:32:15 UTC;Working Definition;1;Demograpic;7394446
2582184;Snake, carpet;Morelia spilotes variegata;2020-06-17 20:17:07;2020-11-22 11:32:54;In Progress;3;MedPhenotype;7834613
63591222;Tern, arctic;Sterna paradisaea;2021-04-12 14:04:53;2021-04-13 14:04:53 UTC;Validated Phenotype;1;Demograpic;8353123
76516483;Sea birds (unidentified);unavailable;2021-01-23 06:46:45;2021-01-24 06:46:45 UTC;Working Definition;1;Vital;6575705
17997606;American racer;Coluber constrictor;2020-11-26 17:59:58;2020-11-27 17:59:58 UTC;Working Definition;2;Demograpic;6890067
92956070;Brown brocket;Mazama gouazoubira;2020-01-14 00:38:46;2020-12-31 00:44:23;Validated Phenotype;1;Procedure;8603812
94979075;Northern elephant seal;Mirounga angustirostris;2020-10-09 22:14:08;2020-11-15 09:52:02;Working Definition;1;Lab;9674632
44315161;Red sheep;Ovis ammon;2019-09-18 18:53:25;2021-01-15 04:43:42;Working Definition;3;MedPhenotype;9041575
68577743;Coatimundi, ring-tailed;Nasua nasua;2020-10-23 19:32:26;2020-10-24 19:32:26 UTC;In Progress;1;Disease;6205909
22289690;Marmot, hoary;Marmota caligata;2020-06-27 14:22:48;2020-12-31 16:25:21;Working Definition;3;Disease;6469670
29373761;Capybara;Hydrochoerus hydrochaeris;2020-01-01 10:57:36;2020-10-20 14:21:54;In Progress;2;Demograpic;8520672
85413754;Red-knobbed coot;Fulica cristata;2020-03-03 16:32:19;2021-03-28 00:03:15;Validated Phenotype;3;MedPhenotype;6749388
6757456;Kalahari scrub robin;Certotrichas paena;2019-10-07 14:30:27;2020-03-05 15:49:17;Working Definition;3;Demograpic;9729222
