PublicationID;PhenotypeID
200323;1000582
200802;1000652
200844;1000049
200403;1000717
200345;1000044
200139;1000544
200514;1000903
200925;1000506
200753;1000977
200026;1000565
200468;1000508
200855;1000202
200674;1000596
200536;1000783
200882;1000391
200715;1000951
200223;1000706
200351;1000955
200852;1000008
200119;1000393
200124;1000194
200435;1000534
200138;1000685
200842;1000215
200474;1000941
200004;1000908
200326;1000135
200047;1000925
200258;1000891
200471;1000730
200952;1000990
200791;1000167
200115;1000778
200384;1000823
200918;1000268
200520;1000701
200384;1000625
200044;1000506
200484;1000445
200308;1000179
200282;1000107
200363;1000473
200728;1000511
200562;1000430
200421;1000955
200652;1000109
200399;1000522
200489;1000297
200598;1000124
200416;1000048
200045;1000255
200774;1000154
200472;1000408
200505;1000720
200590;1000567
200570;1000392
200229;1000783
200289;1000715
200282;1000367
200983;1000481
200157;1000334
200206;1000649
200382;1000777
200776;1000939
200751;1000456
200654;1000462
200981;1000607
200402;1000012
200134;1000600
200941;1000537
200159;1000426
200845;1000599
200101;1000316
200517;1000007
200196;1000867
200876;1000318
200477;1000184
200632;1000687
200595;1000163
200065;1000613
200083;1000792
200337;1000518
200187;1000587
200602;1000802
200798;1000721
200431;1000475
200367;1000317
200561;1000207
200737;1000861
200734;1000543
200864;1000605
200884;1000394
200973;1000734
200329;1000440
200843;1000918
200117;1000284
200300;1000385
200910;1000387
200382;1000158
200440;1000097
200694;1000993
200299;1000245
200662;1000811
200065;1000046
200505;1000136
200785;1000201
200015;1000197
200113;1000740
200441;1000516
200643;1000639
200760;1000321
200522;1000315
200664;1000705
200301;1000408
200961;1000721
200433;1000056
200914;1000624
200275;1000871
200593;1000621
200759;1000204
200646;1000129
200435;1000384
200544;1000592
200089;1000871
200495;1000337
200702;1000896
200391;1000265
200413;1000955
200287;1000156
200956;1000618
200511;1000267
200617;1000069
200842;1000470
200861;1000770
200878;1000965
200504;1000816
200462;1000535
200776;1000275
200315;1000529
200442;1000783
200957;1000436
200898;1000336
200986;1000130
200358;1000035
200458;1000225
200352;1000697
200796;1000819
200620;1000021
200414;1000333
200474;1000769
200712;1000559
200962;1000166
200316;1000540
200511;1000118
200855;1000578
200674;1000887
200163;1000150
200988;1000526
200028;1000563
200860;1000285
