PropertyID;PhenotypeID;PropValue
297382;17121938;1GRCgHWvrBwx6fyjPGs2giCeUd7GUGFiB4
594366;68330520;12DFRNzwjMtqHUeo9KuvikZF8QwqH3Sbi3
233176;68761604;1Agxsa3YPqdPco6BDZi36ZWgQSfSc5wMZL
351696;10206726;1BeH93rairVUWfjfhhZGu9WgGTxe59XfmL
685673;11760367;17XFy6v7wUyD3G5JVxGyQR1ewYA4QVi47d
356756;51135223;1BEnKtEvgAgTfHABvrZcRNxW4vwmqHivK1
658797;41163147;1JsSEoUjuTFiKNFzz8ZJf2UkyPPsMN7tub
474845;65580274;1LBCfyezcHeYEnYhZDTMWhTMYwZVwDWCHr
613859;79790052;1Fd3VJ9tH18MsZ5yAGfWTD9ZHMkSm4TZu1
369165;89664732;16yNjk9zjKsoRvYWX4SekrSkMzrUPQXrRX
347263;15462901;18tauE58RkLcbXTskMPDmpbgWb8NxwipcW
447815;30694061;17TXHu5f8Cp9gGDG49i1kY7UwQm3h7xyxv
455791;97189872;1N8bZrqckd69v2WE6FkLQSjnjmnEhqbVeU
551060;17121938;1Kb3N4a8Var2HbZtVrevGjssHkRPHq6fqb
670068;8284399;1MkMdbGCMxfGQPL39etbVYdafy5gEd4T8E
290435;29500411;1Lt2Gmi62FaWdTiyfAyu3jSCVxRy1kEJee
510398;53688395;1Fxqpg9CrnMVYbTM4VF4cVvT3EZXz4GHbp
346390;60952318;1N9ydvBEEKYwzLExKTbsLY7uE4eVH7zhng
274370;11094538;1Py1VQq7d5TRb4RrwwKH9yL99zhL5XYgRJ
688968;19492765;1EfmPTJWgvmEYaYbUubdnZP1PXtRuPtWVV
522979;15684483;1G9VVQBbwUWeHWkNCayf8NzaTebvKmMf8J
220119;83856149;1FwYqg6boFeaTfkt8AYCcSHMt1iuMkykQX
314983;39643235;13tvtbm169bjC45q1WUZoLe3b7FyNkQje2
207454;48149250;14vz8KtgVWCakwXx15z5Sq83e6r3Q3PVjH
274384;87000576;1ERqjri9DUoi2BoumxNiW4FBu2Z3bD8qpQ
649966;26914011;1KWDvBJoPg1mPfKbKzYeqSYJTJaQ5FcgH7
474984;3372670;14HbP1HMbshLUBCQrpaCragEgfz46MGbBV
671592;62516022;1Do8KgmZmLYiHjPDtSZA9DgFZkUEAM6pAQ
283174;62655042;17Mh9jdVcayXNuqRWCq4Xpm6GUnViBM8vP
352803;49596396;17p2nDUnVbCfKdevAv6yb8zcCyxhWqEQmS
614925;74483233;14YZ7fs2ieA6df8sZwnTZudGfp7pnAC1Wz
366102;9781898;1MEMqP7ZdyyzUxEdwpGrnvu7cjfTZLa5tC
640827;26479533;1FDqacmxPDRFsmsMv5usmbyLihbAaJfuDZ
372080;26167729;1DWEJQchavWA3Z5DboszZ9kq9sJ8EhCeUb
554932;99169723;1BACQ2GFGX2tFAArbBHCkkdeaJNqLZJvjx
609061;84700501;1CDA74h6Ck9AcwfsdQr4eBkELF8tmKuPkQ
667011;54192036;14DQ1EE4gs6eRrafGBJkTkXnBCuXoAP3sw
636216;13446917;1CuvZY3kW9aTms4KuqjDsji3RNnARiS8dk
496805;19482367;16QET34XDUvNEjrm8Sze5yrU3RMYVCbKoz
510398;71435639;18qn2uXAwbWUxB4WdbX9nU4hFYutVwpUNL
200094;54593541;1JwpwuFZnst82Aut58gFHKHzxajF2hTaVD
359493;68915095;17vpDhvuWJzkTrnX83LrWvpFJckmScACgM
299186;94747388;13yn1hkJ6bMBnKvnmafbmmbeWtkT4kVQW1
652978;66277187;1PetNGEKhweZa3K8b4FGREqz5obH7ezs7f
201528;54033538;1AtL8vuB8y8pWLSdK6UXruGnMdyGqizPZ
300741;93129214;1L3czW2CBAio2LQQsryNjx153gkGFNErf9
340392;70248928;1CksFoNzkSLfhKB7BGkuKmxSSzgtUcrN6K
314552;64095666;17SH7JEEGNma21rVwTwKjdaADWibk67kxx
661149;32099150;16g1txMyGCCDBxaLe6Hs4eHyZvUyskmdJ2
226968;5733905;1PQxxbEHzNDgyfy4kGSQyCGh3HWrXgFLWF
635212;87000576;1Q8Dzroh4uHB8kwPDxkBHFqtpqPFu2o1eB
561492;17997606;1FXWpiJN42FvyfJKCkbHGCT9qzLZjoq5Ec
397973;42506697;14cG1VvBTkFaJmpx7KDKDcMziLz2GuykA4
519298;5733905;1FL33Jbny2W5cXBBAMoHQVqnuS7jw8CswA
647663;78166096;1D58JGVdwLq5ZNyZ5DYx7XREZWwM9HTzbj
652670;1513366;1acbA6PDwWT7yvqahe9cduxJypcpFCV9E
330843;44315161;1Mco4PVeQQYjdQLSRme6JrVKD4M5TZRyYh
454147;71300261;1NHwyJuCw45VMoxcbzzL48dPcNZJ4ca7M4
250688;86043632;1KA99YDvd4TdhZfmYvry4mvzihci6xvZPj
564678;80626157;1FFsGt3f96xoZNJ33S2616yFd2mQLy22yC
475783;87952912;15VeUkXtvjo8EVjsLRuxyHWbAdSq9aUjNf
446947;89703749;1FHA5PuikPNsmDGaNpP3qWmbBkNP9ujmPf
536241;2058383;157hJV6MKdi8ZFqEZw8AP5gGzfbV4yZBbS
294917;45220707;1PQZs9UNz6NTMjCoREA3Yjk7cuUQhRAd5F
377064;14912435;14ciukun3eLkSEdrEumWQgNa89GuYu87so
228148;78917329;19iULvtEam67VEJoYbfRPNmC2SEhHcWSM7
558796;44033163;1LE4zxqfAs7LokAYXo9fB3JKT4zWoRhim4
409119;76589059;1BLEidSPLt97HA2S1B4rE7j7KwEWwRB9ZW
674135;93735971;1BT6jrNtqB99CHogpA5o3HN2Qqs2KJgZGD
557170;6352134;16oosP8p5A82PXpzoBrRadMNr4FmgtApZn
554825;5122731;1KAwbtjeEMK3yconbVG6nEY7jT3Sb2Tsb8
428772;7749556;1FKfnMk49ZBc4RCkM4u5YLNSgti4mxuHk8
278825;80627300;17po7Z813CLqeTph9JT9xKtKKHzXt6tBtR
647304;86627811;1DQQEQDm2sMyt8KkHhg9StkZYwtJ6n1Z8P
460611;99094220;1NNJKjhH8pFP5UcQuEMYSbMLnikDnQJFeX
464608;86574341;1G5A1yePfRi3Sj9k62c5PhyGRje4PXNUh1
472066;39049602;1HmvmdoXpURbjyHbDerP7GR1eZra7jaFcd
518763;60853323;1Pqau7Q5TZ3eAJxZX8bvZAQHBvyLtfpLAM
409309;21999144;1AwTCjtrAmVUm2hansVgGajzNMkFztMFjF
615301;64806735;1EHDrxA7Cp16rs4nfMGTCfJgW68nK9Sfns
301286;1324527;1By5rqQ8veUYwV4GFNFuPoRbzoVDZEoWxf
330943;53608865;199pgazcZGo12oDQbjButcf3eUeja5wVtK
258450;45243218;1B7XYya9FoedfX9wbXUDbLjPfmV7NFrypg
274384;17614506;14aHmGebiu3RDqeh3jxwx67xxcqYFxHa2J
267124;25528714;1PJVnEvEN9CwpPayDRU8PoiHaMoxUWuRNT
397350;62147604;15nowkSbEpfwuhuo3eGwq5eXN2ZgGz4qyE
457279;6985433;1QFaHfyputk8vhypfGAJhNnfAf9tJDWxUE
587581;64185484;1LFaK1VqpZ4HvVtLiY8cSqaPtC6oCRtGek
649944;52259700;137VRnSpfZ6awYTnDtBtEtgCYkixSJpsSh
672276;59040089;15sDjQYbzcBkt2iF8FiQCCTK59ZorTVfQD
681612;81993744;1PewdKfTycsgPBmHX1AKfF9HQS37yjhqXg
316479;1312732;1DvvgqVPGxzHz1ZumS2EVB9obQ9QjdAfKA
