PropertyID;PropertyName;PropertyType
699526;Hecla Mining Company;UA
669587;Eaton Vance Tax Advantaged Dividend Income Fund;CN
222684;Scudder Strategic Income Trust;PH
616739;Kyocera Corporation;BR
630839;Duke Energy Corporation;CN
343307;Cott Corporation;CA
303750;Mitel Networks Corporation;ID
409119;Travelport Worldwide Limited;BR
453146;C&F Financial Corporation;RU
581796;Cumulus Media Inc.;PL
433853;Hornbeck Offshore Services;PL
693751;Safeguard Scientifics, Inc.;ID
410672;Beneficial Bancorp, Inc.;CN
485068;Histogenics Corporation;RU
384398;XG Technology, Inc;HU
652670;Hibbett Sports, Inc.;NL
680839;CHS Inc;AR
404337;Hostess Brands, Inc.;AM
608980;BP Prudhoe Bay Royalty Trust;UA
503384;Blackrock Capital and Income Strategies Fund Inc;ID
380471;China Recycling Energy Corporation;RU
423435;Overstock.com, Inc.;FR
312902;Regency Centers Corporation;AR
594754;Tanger Factory Outlet Centers, Inc.;ID
523190;eHealth, Inc.;BO
513158;Ignyta, Inc.;CN
290435;Seneca Foods Corp.;RU
231953;Nymox Pharmaceutical Corporation;AL
553567;Paychex, Inc.;FR
318040;Beazer Homes USA, Inc.;FM
549263;Analog Devices, Inc.;ID
653910;Banco Santander Brasil SA;XK
666529;Stellar Acquisition III Inc.;CN
418174;FTI Consulting, Inc.;PT
572951;Varian Medical Systems, Inc.;PE
684004;VictoryShares US Small Cap Volatility Wtd ETF;ID
390162;Acasti Pharma, Inc.;AM
640293;TransUnion;HK
393034;Almost Family Inc;AL
381254;CNO Financial Group, Inc.;PT
367611;Chesapeake Energy Corporation;BR
285443;Highpower International Inc;ID
380461;Arbor Realty Trust;ID
297136;Severn Bancorp Inc;MY
404607;Tiptree Inc.;RS
523507;New America High Income Fund, Inc. (The);SE
330724;WisdomTree Emerging Markets Quality Dividend Growth Fund;TH
397973;Blackrock New York Municipal Bond Trust;MR
276604;Natus Medical Incorporated;CR
669569;Digital Realty Trust, Inc.;CN
515405;Hub Group, Inc.;ID
489849;Sucampo Pharmaceuticals, Inc.;PH
554932;Daseke, Inc.;ID
262832;American Homes 4 Rent;PH
497134;Capital One Financial Corporation;RU
534466;SI Financial Group, Inc.;FR
635542;PB Bancorp, Inc.;UA
477108;Reata Pharmaceuticals, Inc.;YE
470167;Zions Bancorporation;LU
277450;CF Industries Holdings, Inc.;BR
219844;Sanofi;UA
673118;Citizens, Inc.;BR
276770;Barnes Group, Inc.;HN
374220;Archrock, Inc.;ID
359493;United Technologies Corporation;VN
244747;Wells Fargo & Company;PE
388956;Weatherford International plc;CN
674300;Hartford Financial Services Group, Inc. (The);CN
660071;Wilhelmina International, Inc.;HR
405611;Texas Capital Bancshares, Inc.;CA
212589;DarioHealth Corp.;PH
248834;Allete, Inc.;CN
630669;Evertec, Inc.;PH
455791;Newfield Exploration Company;US
451081;Charter Communications, Inc.;RU
571641;CTI Industries Corporation;CZ
637512;Mistras Group Inc;ID
588275;Cott Corporation;TH
352716;EPR Properties;GT
491915;FRONTEO, Inc.;HR
462753;Endo International plc;LI
585832;Lazard Ltd.;ID
378860;Legacy Reserves LP;NO
522979;Sanmina Corporation;MG
681669;Strongbridge Biopharma plc;PL
672303;GasLog LP.;CN
238054;Zions Bancorporation;ID
451021;LegacyTexas Financial Group, Inc.;PE
678724;UroGen Pharma Ltd.;PT
665879;EXCO Resources NL;RU
405165;Monotype Imaging Holdings Inc.;ZA
652978;NL Industries, Inc.;PE
683422;Spire Inc.;RU
222003;Whole Foods Market, Inc.;ID
255043;Synacor, Inc.;ID
399204;Zions Bancorporation;RS
379243;ViewRay, Inc.;CN
640827;Aware, Inc.;ZA
673246;Ecolab Inc.;PL
267256;Teligent, Inc.;CO
548203;Peak Resorts, Inc.;BR
446402;Energous Corporation;PE
547785;WNS (Holdings) Limited;XK
454147;Forum Merger Corporation;MG
348342;NexPoint Residential Trust, Inc.;GR
682399;Astoria Financial Corporation;TH
237505;First Trust Dorsey Wright Dynamic Focus 5 ETF;MX
525973;InfoSonics Corp;CN
579848;Schneider National, Inc.;PY
217089;Perma-Pipe International Holdings, Inc.;TH
308363;Radian Group Inc.;ID
233427;Royce Global Value Trust, Inc.;PL
258947;Hertz Global Holdings, Inc;CI
649606;Neothetics, Inc.;PL
419657;O2Micro International Limited;ID
661900;Deere & Company;FR
659527;NetSol Technologies Inc.;BR
535561;Sociedad Quimica y Minera S.A.;LI
314222;Harsco Corporation;ID
552116;Eagle Point Credit Company Inc.;PH
364941;American International Group, Inc.;HN
367193;FireEye, Inc.;CN
464924;BanColombia S.A.;CN
333322;Civista Bancshares, Inc. ;GR
307995;Ultralife Corporation;PS
354497;Graham Holdings Company;PA
356854;WebMD Health Corp;MF
364673;NGL ENERGY PARTNERS LP;CN
505099;Intuit Inc.;CO
211487;AK Steel Holding Corporation;CN
605269;WisdomTree Emerging Markets Consumer Growth Fund;CN
530057;Cooper-Standard Holdings Inc.;DE
362949;Fortinet, Inc.;SI
558796;ADOMANI, Inc.;UA
265078;Bloomin' Brands, Inc.;PH
539083;Chuy's Holdings, Inc.;CN
528568;PIMCO Income Strategy Fund II;CN
516780;GP Investments Acquisition Corp.;MU
647985;SemiLEDS Corporation;BY
512588;PowerShares Variable Rate Investment Grade Portfolio;TH
474845;Bellicum Pharmaceuticals, Inc.;NA
605037;Citizens Holding Company;SE
219811;Great Ajax Corp.;CU
264400;Sally Beauty Holdings, Inc.;CN
