DiseaseDomainID;DiseaseDomainName
10001;BMW
10002;Buick
10003;Dodge
10004;Mitsubishi
10005;Suzuki
10006;Dodge
10007;Ford
10008;Lexus
10009;Volkswagen
10010;Volkswagen
10011;Cadillac
10012;Mercedes-Benz
10013;Toyota
10014;GMC
10015;GMC
10016;Cadillac
10017;Saturn
10018;Mercury
10019;Lincoln
10020;Maybach
10021;GMC
10022;Pontiac
10023;Saturn
10024;Chevrolet
10025;Saab
10026;Infiniti
10027;Chevrolet
10028;Land Rover
10029;Nissan
10030;Land Rover
10031;Pontiac
10032;Lexus
10033;Volkswagen
10034;Ford
10035;Nissan
10036;Cadillac
10037;Volkswagen
10038;Mazda
10039;Subaru
10040;Infiniti
10041;Dodge
10042;Mercedes-Benz
10043;Ford
10044;Dodge
10045;Ford
10046;Mazda
10047;Saturn
10048;Lamborghini
10049;Chevrolet
10050;Subaru
10051;Mercedes-Benz
10052;Cadillac
10053;Toyota
10054;Isuzu
10055;Mazda
10056;Porsche
10057;Honda
10058;Suzuki
10059;Toyota
10060;Chevrolet
10061;Mercedes-Benz
10062;Land Rover
10063;Spyker
10064;Chevrolet
10065;Volkswagen
10066;MINI
10067;Ford
10068;Infiniti
10069;Lexus
10070;BMW
10071;Chevrolet
10072;Mercedes-Benz
10073;Mercedes-Benz
10074;Pontiac
10075;Toyota
10076;Cadillac
10077;Cadillac
10078;Ford
10079;Mercedes-Benz
10080;GMC
10081;Ford
10082;Hyundai
10083;Mercedes-Benz
10084;BMW
10085;Mercury
10086;Mazda
10087;Lexus
10088;Toyota
10089;Hyundai
10090;Honda
10091;Lexus
10092;Cadillac
10093;Pontiac
10094;Mazda
10095;Toyota
10096;Pontiac
10097;Porsche
10098;Chevrolet
10099;Lexus
10100;Lexus
10101;Holden
10102;Scion
10103;Subaru
10104;Ford
10105;Land Rover
10106;Ford
10107;Nissan
10108;Ford
10109;Audi
10110;Chevrolet
10111;Dodge
10112;Subaru
10113;Mitsubishi
10114;Chevrolet
10115;Audi
10116;GMC
10117;BMW
10118;Hummer
10119;Ford
10120;Dodge
10121;Suzuki
10122;Lexus
10123;Pontiac
10124;GMC
10125;Mazda
10126;GMC
10127;Toyota
10128;Ford
10129;Cadillac
10130;Mazda
10131;Infiniti
10132;Volkswagen
10133;Jeep
10134;Chrysler
10135;Saturn
10136;Ford
10137;Mitsubishi
10138;Lexus
10139;Hyundai
10140;Toyota
10141;Suzuki
10142;Lexus
10143;Saab
10144;Chevrolet
10145;MINI
10146;Pontiac
10147;Ford
10148;Honda
10149;Chevrolet
10150;Porsche
10151;GMC
10152;Chevrolet
10153;Mitsubishi
10154;Nissan
10155;Volkswagen
10156;Dodge
10157;Ford
10158;Porsche
10159;Honda
10160;Toyota
10161;Acura
10162;Mercedes-Benz
10163;Toyota
10164;Plymouth
10165;Volkswagen
10166;Chevrolet
10167;Ford
10168;Toyota
10169;Dodge
10170;Dodge
10171;GMC
10172;Dodge
10173;Lincoln
10174;Ford
10175;Audi
10176;Suzuki
10177;GMC
10178;Audi
10179;Toyota
10180;Dodge
10181;Chevrolet
10182;Kia
10183;Ford
10184;Porsche
10185;Chevrolet
10186;Mercury
10187;Toyota
10188;Chevrolet
10189;Honda
10190;Volkswagen
10191;Honda
10192;BMW
10193;Geo
10194;Dodge
10195;Audi
10196;Dodge
10197;Ford
10198;Audi
10199;Ford
10200;Mercury
10201;Mercedes-Benz
10202;Dodge
10203;Audi
