AltNameID,PhenotypeID
10432,1000349
10525,1000667
10132,1000181
10916,1000311
10167,1000438
10372,1000786
10196,1000245
10738,1000791
10182,1000951
10751,1000520
10212,1000896
10597,1000558
10533,1000271
10342,1000576
10453,1000046
10216,1000863
10601,1000708
10434,1000027
10863,1000791
10941,1000348
10113,1000087
10344,1000358
10461,1000522
10596,1000956
10793,1000349
10365,1000858
10039,1000267
10520,1000547
10645,1000262
10453,1000675
10577,1000027
10498,1000798
10260,1000486
10157,1000368
10317,1000993
10655,1000926
10913,1000335
10600,1000729
10091,1000266
10467,1000726
10749,1000849
10860,1000620
10521,1000064
10702,1000108
10281,1000575
10550,1000888
10367,1000034
10830,1000462
10027,1000039
10015,1000167
10273,1000416
10073,1000533
10218,1000796
10174,1000637
10670,1000745
10911,1000586
10227,1000752
10337,1000761
10935,1000577
10738,1000072
10184,1000035
10433,1000029
10401,1000351
10414,1000346
10216,1000322
10739,1000844
10021,1000209
10959,1000534
10709,1000945
10860,1000539
10588,1000879
10165,1000244
10388,1000999
10393,1000798
10557,1000734
10779,1000333
10166,1000317
10182,1000419
10784,1000771
10988,1000284
10577,1000487
10466,1000187
10121,1000090
10208,1000750
10829,1000760
10556,1000555
10844,1000143
10069,1000528
10071,1000330
10849,1000524
10980,1000920
10490,1000066
10632,1000273
10595,1000376
10639,1000555
10940,1000750
10869,1000493
10152,1000845
10415,1000925
10953,1000263
10189,1000366
10386,1000164
10762,1000948
10359,1000320
10880,1000309
10501,1000556
10430,1000424
10361,1000107
10988,1000019
10073,1000557
10659,1000895
10899,1000980
10492,1000971
10947,1000668
10683,1000120
10834,1000750
10764,1000325
10860,1000041
10504,1000226
10140,1000542
10453,1000120
10008,1000425
10280,1000873
10525,1000255
10356,1000868
10499,1000387
10430,1000483
10975,1000008
10980,1000003
10438,1000957
10264,1000064
10219,1000169
10684,1000106
10092,1000712
10331,1000964
10492,1000590
10473,1000290
10009,1000570
10611,1000330
10899,1000705
10872,1000775
10724,1000185
10033,1000454
10802,1000529
10075,1000864
10367,1000954
10101,1000441
10800,1000868
10902,1000454
10057,1000218
10775,1000340
10073,1000715
10979,1000897
10257,1000363
10282,1000748
10138,1000293
10943,1000502
10351,1000489
10381,1000961
10286,1000872
10060,1000953
10126,1000652
10814,1000376
10153,1000885
10215,1000662
10539,1000171
10816,1000249
10140,1000593
10031,1000680
10087,1000089
10353,1000045
10853,1000262
10849,1000901
10284,1000718
10956,1000334
