AuthorID;PhenotypeID
10350;1000004
10497;1000807
10771;1000643
10384;1000676
10382;1000814
10654;1000975
10711;1000391
10894;1000472
10828;1000514
10109;1000403
10491;1000831
10472;1000656
10303;1000085
10333;1000992
10643;1000380
10580;1000797
10694;1000311
10172;1000199
10432;1000118
10413;1000504
10828;1000018
10623;1000736
10869;1000229
10245;1000171
10650;1000077
10346;1000479
10488;1000212
10532;1000940
10516;1000075
10320;1000215
10386;1000106
10711;1000660
10802;1000902
10686;1000578
10795;1000781
10212;1000883
10154;1000076
10430;1000359
10577;1000672
10690;1000822
10282;1000986
10833;1000398
10527;1000867
10454;1000011
10552;1000257
10506;1000470
10430;1000574
10403;1000845
10331;1000210
10687;1000535
10188;1000003
10627;1000624
10154;1000901
10776;1000162
10318;1000995
10267;1000712
10942;1000418
10877;1000318
10373;1000810
10295;1000011
10972;1000573
10788;1000284
10789;1000859
10221;1000317
10649;1000655
10060;1000985
10363;1000699
10252;1000174
10726;1000474
10800;1000749
10060;1000650
10358;1000956
10889;1000335
10133;1000560
10429;1000768
10802;1000519
10774;1000912
10581;1000534
10290;1000903
10934;1000204
10580;1000251
10934;1000647
10530;1000012
10622;1000918
10225;1000335
10513;1000225
10714;1000118
10279;1000036
10089;1000593
10670;1000413
10986;1000287
10454;1000612
10732;1000655
10956;1000220
10874;1000220
10590;1000605
10209;1000372
10351;1000881
10476;1000005
10707;1000883
10409;1000573
10375;1000797
10493;1000598
10661;1000689
10643;1000744
10681;1000817
10980;1000229
10475;1000240
10318;1000577
10207;1000519
10581;1000755
10534;1000087
10969;1000782
10514;1000147
10928;1000749
10481;1000693
10468;1000990
10025;1000826
10329;1000280
10845;1000004
10442;1000029
10120;1000261
10491;1000257
10636;1000808
10137;1000129
10889;1000850
10973;1000075
10883;1000837
10570;1000070
10417;1000258
10054;1000731
10093;1000552
10903;1000973
10468;1000061
10521;1000313
10181;1000311
10114;1000160
10191;1000326
10027;1000556
10524;1000546
10030;1000773
10109;1000886
10325;1000567
10406;1000743
10728;1000548
10619;1000193
10962;1000843
10815;1000881
10307;1000273
10418;1000414
10213;1000373
10169;1000984
10584;1000879
10581;1000626
10176;1000720
10010;1000572
10447;1000239
10391;1000864
10588;1000973
10413;1000472
10784;1000520
10094;1000879
10466;1000716
10262;1000792
10363;1000222
10032;1000809
10039;1000741
10345;1000238
10874;1000792
10211;1000057
10074;1000614
10042;1000922
10846;1000369
10877;1000236
10590;1000733
