DataSourceID;PhenotypeID
1363;1000053
1429;1000647
1904;1000934
1202;1000808
1205;1000765
1003;1000179
1579;1000109
1950;1000928
1821;1000508
1751;1000317
1832;1000315
1036;1000985
1984;1000475
1523;1000920
1739;1000236
1542;1000462
1381;1000618
1527;1000689
1400;1000032
1090;1000108
1470;1000343
1620;1000202
1244;1000371
1624;1000321
1971;1000161
1301;1000114
1309;1000988
1406;1000494
1661;1000252
1343;1000987
1670;1000066
1377;1000348
1701;1000648
1551;1000585
1385;1000264
1305;1000048
1405;1000180
1737;1000517
1542;1000150
1367;1000639
1035;1000638
1035;1000919
1454;1000099
1967;1000503
1428;1000954
1207;1000300
1949;1000903
1253;1000424
1504;1000816
1345;1000726
1144;1000956
1521;1000711
1068;1000627
1005;1000351
1711;1000138
1041;1000057
1077;1000783
1975;1000558
1775;1000874
1902;1000593
1703;1000446
1278;1000840
1313;1000586
1873;1000521
1626;1000109
1755;1000638
1494;1000194
1584;1000154
1701;1000385
1945;1000580
1886;1000716
1150;1000709
1218;1000344
1687;1000983
1027;1000062
1713;1000852
1909;1000133
1573;1000731
1578;1000547
1625;1000465
1443;1000187
1071;1000826
1318;1000670
1401;1000780
1227;1000728
1496;1000450
1105;1000724
1821;1000806
1062;1000696
1453;1000936
1490;1000446
1513;1000522
1655;1000630
1622;1000551
1318;1000404
1919;1000183
1939;1000753
1487;1000305
1001;1000280
1388;1000394
1776;1000405
1903;1000019
1772;1000051
1717;1000390
1752;1000335
1766;1000161
1142;1000502
1094;1000112
1892;1000282
1372;1000078
1448;1000661
1003;1000186
1352;1000105
1154;1000545
1914;1000688
1897;1000499
1189;1000281
1339;1000883
1444;1000071
1435;1000837
1055;1000810
1150;1000639
1307;1000822
1001;1000593
1172;1000266
1261;1000648
1860;1000807
1096;1000196
1782;1000833
1294;1000900
1306;1000809
1540;1000412
1191;1000886
1582;1000815
1812;1000154
1451;1000006
1194;1000893
1323;1000285
1844;1000129
1522;1000539
1836;1000068
1147;1000157
1602;1000462
1572;1000481
1960;1000792
1942;1000197
1507;1000642
1854;1000321
1141;1000399
1662;1000614
1790;1000507
1887;1000786
1069;1000094
1180;1000694
1641;1000793
1609;1000217
1312;1000504
1315;1000212
1612;1000119
1771;1000392
1972;1000210
1245;1000524
1690;1000879
1312;1000593
1323;1000952
1571;1000208
1012;1000868
1551;1000054
1627;1000065
1022;1000006
1132;1000417
1440;1000118
1011;1000358
1906;1000455
1868;1000430
1946;1000290
1361;1000269
1117;1000710
1003;1000153
1858;1000061
1543;1000517
1064;1000993
1190;1000612
1137;1000980
1269;1000662
1798;1000709
1315;1000075
1206;1000713
1589;1000261
1030;1000874
1800;1000441
1961;1000516
1420;1000018
1794;1000623
1771;1000842
1662;1000366
1192;1000502
1969;1000192
1934;1000007
1257;1000233
1777;1000354
1179;1000794
1045;1000986
1982;1000593
1820;1000510
1716;1000886
1591;1000207
1709;1000417
1017;1000003
1687;1000667
1037;1000071
1306;1000541
1256;1000237
1497;1000732
1292;1000212
1171;1000567
1521;1000575
1791;1000677
1905;1000384
1918;1000406
1447;1000797
1617;1000617
1639;1000287
1638;1000105
1149;1000268
1696;1000020
1681;1000275
1276;1000046
1910;1000835
1987;1000917
1830;1000766
1148;1000836
1825;1000862
1941;1000588
1383;1000047
1065;1000011
1783;1000795
1152;1000559
1889;1000084
1875;1000979
1255;1000297
1912;1000740
1277;1000722
1846;1000777
1817;1000184
1632;1000413
1540;1000376
1356;1000090
1080;1000134
1892;1000372
1259;1000311
1712;1000555
1063;1000848
1085;1000057
1038;1000269
1483;1000357
1965;1000346
1313;1000654
1669;1000258
1974;1000530
1162;1000091
1732;1000547
