PhenotypeID,PhenotypeName,PhenoDesc,DateAdded,LastModified,Status,Version,Type,PopulationID
1000001,"Heron, gray",Ardea cinerea,2020-03-05 02:01:49,2021-01-10 08:18:18,In Progress,3,Procedure,5555887
1000002,"Goose, cape barren",Cereopsis novaehollandiae,2020-05-25 04:01:40,2020-05-26 04:01:40 UTC,Validated Phenotype,3,Procedure,5556277
1000003,"Badger, european",Meles meles,2020-04-12 04:11:21,2021-04-02 02:40:17,Working Definition,1,LifeStyle_Envi,5555732
1000004,Curve-billed thrasher,Toxostoma curvirostre,2021-02-06 15:36:29,2021-02-07 15:36:29 UTC,Working Definition,1,LifeStyle_Envi,5555887
1000005,Swallow-tail gull,Creagrus furcatus,2021-02-19 09:10:16,2021-02-20 09:10:16 UTC,Validated Phenotype,1,Procedure,5555926
1000006,"Badger, european",Meles meles,2020-11-10 09:14:30,2020-12-30 14:31:14,Working Definition,1,Vital,5556321
1000007,White-throated monitor,Varanus albigularis,2020-10-03 04:06:48,2021-03-16 17:51:04,In Progress,3,Procedure,5555875
1000008,"Ibis, glossy",Plegadis falcinellus,2020-12-28 19:04:27,2020-12-29 19:04:27 UTC,In Progress,1,Vital,5555904
1000009,Downy woodpecker,Picoides pubescens,2021-01-13 02:53:38,2021-01-14 02:53:38 UTC,Validated Phenotype,1,LifeStyle_Envi,5556257
1000010,"Shrew, mandras tree",Anathana ellioti,2019-11-08 04:36:26,2021-02-09 01:13:13,In Progress,1,Disease,5556067
1000011,"Cat, jungle",Felis chaus,2021-01-04 10:25:23,2021-01-05 10:25:23 UTC,In Progress,1,MedPhenotype,5556498
1000012,Eurasian badger,Meles meles,2021-03-17 01:15:36,2021-03-18 01:15:36 UTC,Validated Phenotype,1,LifeStyle_Envi,5556552
1000013,"Otter, brazilian",Pteronura brasiliensis,2020-08-09 21:01:15,2020-08-10 21:01:15 UTC,In Progress,1,Demograpic,5555809
1000014,Monitor lizard (unidentified),Varanus sp.,2020-04-27 14:29:31,2021-04-01 06:57:13,Validated Phenotype,1,MedPhenotype,5556054
1000015,"Weaver, red-billed buffalo",Bubalornis niger,2020-03-05 06:52:58,2020-09-23 20:31:13,Validated Phenotype,3,Procedure,5556011
1000016,Spectacled caiman,Caiman crocodilus,2020-06-14 12:48:02,2021-03-24 15:59:52,In Progress,2,Demograpic,5555794
1000017,"Civet, common palm",Paradoxurus hermaphroditus,2019-10-19 19:10:48,2020-09-04 18:45:29,In Progress,2,LifeStyle_Envi,5556107
1000018,"Lemur, ring-tailed",Lemur catta,2020-06-16 13:29:19,2020-06-17 13:29:19 UTC,Working Definition,1,Disease,5556254
1000019,European shelduck,Tadorna tadorna,2019-10-06 00:13:44,2020-05-30 13:25:08,Working Definition,3,Procedure,5555619
1000020,"Mongoose, small indian",Herpestes javanicus,2020-08-25 02:25:34,2020-08-26 02:25:34 UTC,Validated Phenotype,2,Vital,5555750
1000021,"Hedgehog, south african",Erinaceus frontalis,2019-12-25 21:45:25,2020-12-27 08:04:54,Working Definition,2,MedPhenotype,5556121
1000022,"Bustard, denham's",Neotis denhami,2020-07-07 04:51:36,2020-12-26 10:38:44,Working Definition,3,Procedure,5556496
1000023,"Marshbird, brown and yellow",Pseudoleistes virescens,2020-10-01 17:19:39,2020-10-02 17:19:39 UTC,Validated Phenotype,3,Disease,5556461
1000024,Yellow-billed stork,Mycteria ibis,2020-01-18 06:07:36,2020-09-24 08:42:22,Validated Phenotype,1,MedPhenotype,5555828
1000025,Blue and gold macaw,Ara ararauna,2020-12-17 14:14:12,2020-12-18 14:14:12 UTC,In Progress,1,LifeStyle_Envi,5555622
1000026,Black curlew,Haematopus ater,2020-05-16 00:48:17,2020-08-28 07:21:45,In Progress,2,Demograpic,5556440
1000027,"Rattlesnake, eastern diamondback",Crotalus adamanteus,2020-08-02 14:20:26,2020-08-03 14:20:26 UTC,Working Definition,3,Disease,5556243
1000028,"Rhea, common",Rhea americana,2020-05-09 22:09:47,2020-10-08 13:27:11,Working Definition,2,Disease,5556265
1000029,"Ringtail, common",Pseudocheirus peregrinus,2021-01-11 17:30:17,2021-01-12 17:30:17 UTC,Validated Phenotype,3,LifeStyle_Envi,5556553
1000030,African red-eyed bulbul,Pycnonotus nigricans,2020-03-30 17:53:33,2020-04-04 09:33:58,In Progress,3,MedPhenotype,5556276
1000031,Black-footed ferret,Mustela nigripes,2020-06-20 18:21:48,2021-03-08 19:34:59,Working Definition,3,LifeStyle_Envi,5555818
1000032,Osprey,Pandon haliaetus,2020-10-03 08:43:23,2020-10-04 08:43:23 UTC,Working Definition,2,LifeStyle_Envi,5555851
1000033,"Vulture, oriental white-backed",Gyps bengalensis,2020-02-15 04:41:48,2020-09-16 02:58:11,In Progress,3,MedPhenotype,5556434
1000034,"Hawk, galapagos",Buteo galapagoensis,2020-01-12 16:03:06,2020-01-13 16:03:06 UTC,Working Definition,1,Lab,5555672
1000035,"Lizard, desert spiny",Sceloporus magister,2019-12-05 16:00:20,2020-03-03 19:39:41,Validated Phenotype,1,Disease,5556001
1000036,"Kangaroo, jungle",Macropus agilis,2020-02-16 03:28:52,2020-02-17 03:28:52 UTC,Working Definition,3,Demograpic,5556510
1000037,"Antechinus, brown",Antechinus flavipes,2019-10-02 01:35:50,2020-08-22 21:53:01,Working Definition,1,Vital,5555779
1000038,"Marmot, hoary",Marmota caligata,2021-01-22 17:58:54,2021-01-23 17:58:54 UTC,Validated Phenotype,2,Lab,5556271
1000039,Blue and gold macaw,Ara ararauna,2019-12-11 04:06:57,2020-04-10 11:00:13,Working Definition,1,Lab,5556530
1000040,Mara,Dolichitus patagonum,2020-09-26 13:15:26,2020-09-27 13:15:26 UTC,Working Definition,2,LifeStyle_Envi,5556024
1000041,"Dove, mourning collared",Streptopelia decipiens,2020-09-04 16:06:06,2020-09-05 16:06:06 UTC,In Progress,2,MedPhenotype,5556290
1000042,African fish eagle,Haliaetus vocifer,2019-12-28 00:28:20,2020-04-22 23:43:47,Working Definition,3,MedPhenotype,5555898
1000043,"Raccoon, crab-eating",Procyon cancrivorus,2020-06-10 05:42:21,2020-06-20 23:28:59,In Progress,2,Disease,5556500
1000044,"Zebra, common",Equus burchelli,2021-01-04 06:29:18,2021-01-05 06:29:18 UTC,Working Definition,3,Vital,5555978
1000045,"Otter, canadian river",Lutra canadensis,2020-03-05 06:00:11,2021-03-16 00:14:03,Validated Phenotype,3,Procedure,5556420
1000046,Dama wallaby,Macropus eugenii,2020-10-08 18:02:34,2020-12-06 17:08:37,In Progress,3,Disease,5555558
1000047,Grison,Galictis vittata,2019-11-22 09:14:20,2020-09-18 14:56:08,Validated Phenotype,2,Demograpic,5556352
1000048,Indian peacock,Pavo cristatus,2020-04-03 02:27:42,2020-06-12 17:40:25,Validated Phenotype,2,Demograpic,5555995
