ICDCodeID;PhenotypeID
100050;1000307
100169;1000561
100267;1000791
100482;1000768
100945;1000878
100678;1000038
100456;1000323
100987;1000986
100781;1000294
100531;1000333
100186;1000727
100272;1000756
100164;1000835
100995;1000161
100626;1000788
100123;1000734
100259;1000873
100185;1000867
100994;1000614
100448;1000133
100987;1000400
100871;1000957
100601;1000832
100357;1000107
100906;1000695
100175;1000685
100738;1000707
100854;1000802
100106;1000962
100364;1000812
100226;1000501
100393;1000290
100268;1000919
100532;1000809
100121;1000347
100154;1000926
100639;1000825
100513;1000243
100172;1000478
100248;1000455
100692;1000126
100068;1000764
100645;1000891
100359;1000600
100262;1000872
100896;1000378
100984;1000791
100708;1000356
100692;1000486
100024;1000470
100225;1000877
100388;1000988
100090;1000280
100323;1000222
100848;1000197
100216;1000380
100611;1000310
100680;1000217
100893;1000747
100004;1000220
100254;1000506
100301;1000591
100135;1000878
100274;1000939
100544;1000493
100878;1000294
100866;1000772
100509;1000859
100170;1000232
100733;1000726
100100;1000804
100178;1000475
100653;1000308
100114;1000254
100304;1000984
100071;1000480
100728;1000740
100730;1000937
100896;1000109
100182;1000556
100183;1000758
100726;1000458
100105;1000903
100332;1000825
100491;1000528
100732;1000357
100084;1000593
100294;1000297
100125;1000206
100163;1000354
100152;1000696
100583;1000913
100099;1000526
100175;1000286
100508;1000452
100526;1000571
100239;1000725
100961;1000672
100793;1000214
100864;1000868
100806;1000787
100027;1000555
100592;1000442
100996;1000015
100726;1000713
100919;1000048
100116;1000479
100132;1000388
100003;1000942
100899;1000109
100437;1000474
100321;1000476
100595;1000315
100009;1000941
100941;1000953
100897;1000921
100111;1000040
100444;1000241
100447;1000313
100633;1000045
100872;1000323
100745;1000900
100919;1000421
100224;1000572
100506;1000857
100728;1000352
100399;1000924
100218;1000734
100447;1000486
100178;1000098
100879;1000231
100678;1000566
100613;1000298
100060;1000945
100942;1000025
100283;1000714
100481;1000587
100310;1000832
100913;1000538
100329;1000439
100030;1000719
100742;1000113
100073;1000793
100480;1000028
100971;1000922
100544;1000369
100501;1000583
100704;1000841
100680;1000462
100106;1000966
100794;1000355
100072;1000644
100025;1000057
100306;1000630
100672;1000674
100129;1000276
100047;1000297
100861;1000557
100373;1000540
100161;1000351
100633;1000567
100231;1000394
100923;1000659
100901;1000570
100783;1000223
100297;1000240
100390;1000444
100776;1000869
100335;1000503
100318;1000636
100897;1000549
100392;1000340
100048;1000938
100581;1000773
100682;1000453
100491;1000637
100255;1000680
100955;1000346
100826;1000573
100150;1000599
100143;1000428
100770;1000286
100709;1000433
100964;1000964
100148;1000536
100401;1000115
100954;1000162
100428;1000875
100445;1000730
100147;1000047
100357;1000639
100552;1000992
100497;1000231
100725;1000514
100017;1000361
100094;1000020
100515;1000162
100272;1000921
100548;1000335
100166;1000446
100910;1000657
100294;1000046
100496;1000340
100202;1000495
100676;1000995
100803;1000679
100816;1000853
100790;1000281
100341;1000912
100641;1000174
100153;1000626
100436;1000104
100315;1000233
100554;1000142
100333;1000812
100987;1000037
100018;1000642
100332;1000710
100558;1000058
100608;1000772
100925;1000773
100768;1000946
100684;1000944
100948;1000041
100531;1000593
100844;1000925
100268;1000491
100312;1000151
100349;1000105
100351;1000125
100878;1000481
100445;1000836
100122;1000197
100561;1000366
100294;1000144
100216;1000146
100994;1000258
100209;1000882
100137;1000071
100850;1000806
100497;1000521
100417;1000581
100049;1000091
100924;1000428
100858;1000856
100333;1000424
100631;1000396
100280;1000290
100563;1000647
100169;1000883
100507;1000167
100876;1000426
100231;1000648
100336;1000039
100170;1000571
100636;1000778
100740;1000455
100443;1000370
100854;1000926
100786;1000169
100346;1000441
100999;1000496
100645;1000791
100134;1000089
100151;1000481
100695;1000145
100478;1000113
100487;1000257
100490;1000613
100158;1000740
100906;1000736
100032;1000184
100379;1000752
100090;1000045
100585;1000897
100998;1000458
100992;1000754
100760;1000495
100685;1000420
100330;1000279
100531;1000227
100320;1000711
100757;1000567
100863;1000648
100461;1000395
100248;1000181
100935;1000343
100512;1000466
100947;1000314
100703;1000508
100346;1000063
100640;1000310
100074;1000623
100856;1000838
100448;1000838
100901;1000505
100100;1000091
100431;1000950
100119;1000708
100072;1000019
100319;1000069
100344;1000491
100612;1000519
100990;1000738
100770;1000731
100344;1000056
100355;1000002
100593;1000717
100650;1000578
100947;1000170
100814;1000335
100491;1000792
100459;1000419
100390;1000376
100164;1000351
100126;1000123
100343;1000128
100511;1000400
100602;1000426
100791;1000894
100666;1000179
100412;1000809
100732;1000811
100422;1000778
100704;1000551
100620;1000887
100018;1000922
100730;1000414
100370;1000904
100715;1000040
100394;1000917
100111;1000139
100021;1000826
100409;1000293
100519;1000229
100524;1000988
100393;1000363
100157;1000433
100703;1000628
100352;1000495
100026;1000459
100054;1000929
100426;1000204
100438;1000390
100796;1000138
100899;1000912
100478;1000086
100950;1000132
100655;1000066
100830;1000784
100518;1000699
100526;1000461
100525;1000390
100392;1000612
100372;1000770
100501;1000273
100985;1000285
100845;1000584
100425;1000030
100345;1000490
100798;1000444
100024;1000997
100474;1000067
100953;1000983
100356;1000436
100531;1000794
100796;1000815
100378;1000454
100981;1000546
100969;1000024
100322;1000826
100726;1000126
100430;1000744
100102;1000734
100832;1000719
100901;1000493
100134;1000053
100474;1000323
100164;1000862
100453;1000515
100147;1000164
100590;1000052
100878;1000763
100690;1000234
100975;1000446
100175;1000491
100780;1000743
100723;1000932
100159;1000769
100366;1000745
100978;1000764
100377;1000101
100103;1000877
100752;1000975
100587;1000909
100946;1000148
100652;1000460
100410;1000366
100523;1000117
100421;1000772
100081;1000944
100770;1000528
100692;1000430
100294;1000520
100718;1000325
100575;1000538
100815;1000793
100848;1000764
100836;1000119
100872;1000912
100920;1000391
100503;1000154
100840;1000054
100778;1000908
100956;1000425
100776;1000434
100449;1000207
100238;1000731
100685;1000795
100094;1000467
100051;1000646
100313;1000830
100181;1000160
100087;1000053
100244;1000530
100607;1000139
100129;1000608
100708;1000961
100711;1000726
100596;1000837
100940;1000284
100174;1000867
100862;1000834
100991;1000318
100900;1000712
100182;1000213
100165;1000227
100840;1000927
100288;1000255
100155;1000682
100907;1000801
100080;1000197
100865;1000687
100266;1000958
100357;1000562
100851;1000363
100488;1000547
100833;1000059
100903;1000408
100726;1000181
100539;1000106
100406;1000517
100519;1000758
100362;1000106
100282;1000023
100046;1000607
100651;1000811
100284;1000928
100667;1000287
100272;1000191
100723;1000142
100829;1000230
100682;1000689
100707;1000494
100289;1000673
100514;1000511
100433;1000047
100282;1000151
100355;1000119
100702;1000649
100724;1000886
100604;1000749
100800;1000911
100224;1000214
100548;1000510
100299;1000887
100267;1000798
100308;1000638
100720;1000314
100886;1000173
100447;1000078
100372;1000031
100343;1000618
100993;1000999
100763;1000462
100998;1000227
100187;1000638
100264;1000766
100050;1000976
100365;1000882
100472;1000961
100137;1000506
100733;1000957
100138;1000381
100483;1000069
100253;1000416
100298;1000040
100636;1000694
100945;1000546
100980;1000305
100597;1000422
100366;1000508
100897;1000998
100195;1000347
100228;1000143
100757;1000270
100112;1000128
100631;1000036
100301;1000988
100831;1000536
100559;1000638
100354;1000174
100228;1000668
100581;1000463
100312;1000550
100278;1000375
100296;1000586
100368;1000723
100194;1000930
100320;1000460
100628;1000174
100402;1000533
100428;1000171
100089;1000209
100552;1000727
100018;1000093
100701;1000372
100816;1000710
100396;1000367
100628;1000702
100139;1000628
100612;1000921
100447;1000422
100706;1000331
100377;1000585
100442;1000804
100219;1000025
100002;1000613
100997;1000994
100009;1000309
100088;1000907
100733;1000055
100509;1000621
100299;1000273
100844;1000028
100184;1000391
100427;1000501
100927;1000866
100548;1000668
100309;1000995
100621;1000820
100824;1000876
100175;1000624
100649;1000420
100260;1000676
100433;1000840
100492;1000432
100529;1000306
100882;1000255
100510;1000833
100930;1000963
100215;1000924
100448;1000358
100253;1000975
100078;1000534
100833;1000572
100585;1000866
100492;1000479
100082;1000614
100350;1000353
100341;1000694
100559;1000778
100947;1000820
100644;1000869
100760;1000624
100372;1000454
100078;1000321
100212;1000242
100206;1000503
100841;1000415
100450;1000016
100042;1000433
100595;1000871
100765;1000018
100434;1000253
100606;1000704
100183;1000442
100078;1000281
100818;1000494
100999;1000632
100723;1000219
100475;1000966
100608;1000366
100498;1000342
100940;1000158
100256;1000821
100699;1000585
100351;1000075
100024;1000315
100897;1000235
100749;1000067
100534;1000236
100176;1000656
100798;1000631
100520;1000671
100605;1000463
100567;1000743
100892;1000657
100213;1000466
100759;1000004
100556;1000047
100560;1000298
100231;1000091
100184;1000257
100212;1000559
100806;1000275
100912;1000999
100309;1000145
100486;1000012
100816;1000726
100982;1000237
100875;1000593
100529;1000557
100012;1000609
100428;1000435
100829;1000751
100824;1000087
100455;1000969
100540;1000727
100511;1000873
100099;1000701
100328;1000075
100490;1000533
100433;1000444
100340;1000458
100227;1000448
100412;1000245
100706;1000968
100710;1000602
100620;1000209
100206;1000251
100190;1000323
100755;1000840
100102;1000951
100549;1000632
100742;1000553
100675;1000234
100287;1000602
100929;1000408
100285;1000136
100863;1000831
100133;1000350
100094;1000112
100623;1000356
100352;1000208
100422;1000787
100826;1000930
100550;1000157
100165;1000039
100862;1000223
100182;1000770
100861;1000098
100330;1000762
100702;1000699
100369;1000749
100085;1000061
100677;1000395
100094;1000141
100309;1000078
100937;1000210
100392;1000417
100338;1000898
100379;1000754
100799;1000595
100243;1000799
100214;1000341
100260;1000354
100027;1000427
100073;1000232
100104;1000153
100868;1000182
100944;1000739
100019;1000190
100991;1000148
100740;1000215
100679;1000571
100895;1000633
100093;1000243
100192;1000945
100526;1000858
100790;1000463
100668;1000010
100992;1000149
100258;1000573
100476;1000881
100633;1000652
100945;1000926
100057;1000740
100451;1000447
100728;1000591
100804;1000335
100884;1000983
100520;1000687
100866;1000337
100617;1000976
100311;1000475
100675;1000554
100058;1000402
100450;1000956
100198;1000313
100985;1000268
100202;1000641
100752;1000538
100057;1000132
100027;1000741
100100;1000178
100035;1000742
100942;1000905
100351;1000261
100103;1000892
100425;1000091
100963;1000930
100900;1000802
100779;1000616
100824;1000056
100289;1000527
100915;1000749
100901;1000039
100483;1000294
100497;1000963
100674;1000312
100875;1000441
100584;1000945
100219;1000648
100282;1000470
100090;1000484
100941;1000545
100113;1000767
100090;1000746
100287;1000183
100223;1000932
100660;1000486
100526;1000133
100352;1000721
100441;1000813
100230;1000328
100912;1000905
100683;1000186
100471;1000952
100762;1000561
100313;1000067
100478;1000733
100042;1000600
100605;1000552
100584;1000197
100986;1000033
100719;1000959
100416;1000112
100934;1000424
100463;1000533
100869;1000461
100268;1000140
100440;1000143
100009;1000808
100596;1000681
100931;1000897
100772;1000177
100837;1000607
100073;1000352
100149;1000431
100959;1000386
100526;1000189
100505;1000819
100618;1000397
100404;1000881
100937;1000878
100201;1000067
100286;1000307
100985;1000881
100508;1000494
100784;1000187
100031;1000590
100897;1000502
100038;1000452
100181;1000936
100936;1000948
100154;1000087
100430;1000453
100709;1000685
100602;1000302
100263;1000195
100544;1000343
100374;1000761
100574;1000732
100617;1000265
100066;1000945
100016;1000862
100154;1000853
100577;1000134
100288;1000903
100294;1000526
100760;1000257
100642;1000724
100335;1000842
100717;1000444
100555;1000496
100786;1000550
100086;1000018
100155;1000285
100408;1000567
100272;1000168
100892;1000069
100177;1000693
100241;1000734
100281;1000019
100298;1000948
100890;1000939
100577;1000507
100597;1000684
100847;1000398
100016;1000082
100325;1000476
100352;1000179
100335;1000470
100475;1000217
100580;1000514
100145;1000471
100068;1000283
100487;1000380
100886;1000793
100602;1000592
100207;1000523
100362;1000612
100669;1000578
100311;1000369
100041;1000564
100285;1000266
100907;1000790
100903;1000627
100622;1000700
100701;1000847
100972;1000725
100969;1000450
100233;1000098
100526;1000004
100557;1000147
100487;1000747
100528;1000588
100218;1000323
100740;1000004
100244;1000119
100312;1000065
100440;1000709
100429;1000908
100167;1000661
100842;1000797
100207;1000990
100671;1000205
100880;1000435
100196;1000227
100409;1000727
100647;1000343
100132;1000810
100587;1000935
100433;1000839
100187;1000470
100735;1000060
100023;1000745
100184;1000337
100437;1000994
100899;1000714
100374;1000248
100876;1000592
100074;1000475
100935;1000713
100594;1000684
100277;1000999
100937;1000856
100964;1000758
100968;1000349
100483;1000134
100466;1000092
100772;1000921
100373;1000545
100633;1000892
100346;1000786
100582;1000375
100669;1000188
100051;1000728
100878;1000465
100558;1000192
100915;1000201
100564;1000792
100415;1000757
100278;1000800
100114;1000202
100774;1000998
100869;1000838
100861;1000282
100001;1000517
100711;1000917
100645;1000394
100755;1000482
100214;1000095
100633;1000926
100376;1000168
100796;1000342
100734;1000416
100616;1000094
