PropertyID;PropertyName;PropertyType
200001;Mitsubishi UFJ Financial Group Inc;FR
200002;Century Bancorp, Inc.;SE
200003;Ennis, Inc.;NO
200004;Energizer Holdings, Inc.;ID
200005;Merrill Lynch & Co., Inc.;CN
200006;PowerShares QQQ Trust, Series 1;BR
200007;Kewaunee Scientific Corporation;AR
200008;Costco Wholesale Corporation;RU
200009;Stericycle, Inc.;TH
200010;Blackrock MuniYield Investment Fund;HN
200011;Guggenheim Taxable Municipal Managed Duration Trst;MA
200012;Autohome Inc.;SE
200013;Westpac Banking Corporation;PE
200014;Host Hotels & Resorts, Inc.;ID
200015;Retail Properties of America, Inc.;ID
200016;Fate Therapeutics, Inc.;BR
200017;Glen Burnie Bancorp;CN
200018;Top Image Systems, Ltd.;ID
200019;Gabelli NextShares Trust;BR
200020;SBA Communications Corporation;KE
200021;Franco-Nevada Corporation;NL
200022;Centennial Resource Development, Inc.;GB
200023;Apollo Senior Floating Rate Fund Inc.;PT
200024;Landmark Infrastructure Partners LP;PK
200025;Shaw Communications Inc.;CN
200026;Flaherty & Crumrine Preferred Income Fund Incorporated;FR
200027;Richardson Electronics, Ltd.;TH
200028;Medpace Holdings, Inc.;SY
200029;Legacy Reserves LP;KZ
200030;Allied Healthcare Products, Inc.;PS
200031;Kitov Pharmaceuticals Holdings Ltd.;CN
200032;Ebix, Inc.;ID
200033;Ohr Pharmaceuticals, Inc.;GR
200034;Norwood Financial Corp.;VN
200035;Cohen & Steers Infrastructure Fund, Inc;CN
200036;Milacron Holdings Corp.;CN
200037;Qualys, Inc.;ID
200038;China Lending Corporation;ID
200039;Beneficial Bancorp, Inc.;CN
200040;iShares S&P Emerging Markets Infrastructure Index Fund;CN
200041;PT Telekomunikasi Indonesia, Tbk;TN
200042;Monarch Casino & Resort, Inc.;CN
200043;Independence Contract Drilling, Inc.;TH
200044;Autohome Inc.;CI
200045;Express, Inc.;SL
200046;Textainer Group Holdings Limited;SE
200047;Brightcove Inc.;UA
200048;Darling Ingredients Inc.;ID
200049;Iteris, Inc.;CN
200050;Stellar Acquisition III Inc.;PT
200051;Whiting Petroleum Corporation;CN
200052;Roadrunner Transportation Systems, Inc;CN
200053;National General Holdings Corp;PH
200054;CYS Investments, Inc.;CN
200055;STMicroelectronics N.V.;CN
200056;Gap, Inc. (The);ID
200057;Consolidated Edison Inc;CN
200058;Sutherland Asset Management Corporation;GR
200059;Third Point Reinsurance Ltd.;CN
200060;ClubCorp Holdings, Inc.;MX
200061;Calix, Inc;CN
200062;Virtus Investment Partners, Inc.;AR
200063;Capital One Financial Corporation;VE
200064;Clearside Biomedical, Inc.;CN
200065;Federal Signal Corporation;MN
200066;Bank of Commerce Holdings (CA);PT
200067;Navios Maritime Midstream Partners LP;ID
200068;Janus Henderson Small/Mid Cap Growth Alpha ETF;FR
200069;Extraction Oil & Gas, Inc.;BR
200070;Editas Medicine, Inc.;PE
200071;Johnson Controls International plc;CN
200072;MRV Communications, Inc.;CN
200073;First Trust Global Tactical Commodity Strategy Fund;US
200074;FARO Technologies, Inc.;PL
200075;OSI Systems, Inc.;CN
200076;General Electric Capital Corporation;MA
200077;ServiceNow, Inc.;DO
200078;Videocon d2h Limited;CN
200079;Carlisle Companies Incorporated;CN
200080;PC Connection, Inc.;JP
200081;Lightbridge Corporation;FR
200082;First Trust Nasdaq Retail ETF;ID
200083;Gold Fields Limited;CN
200084;Advanced Drainage Systems, Inc.;CN
200085;Great Elm Capital Corp.;MX
200086;EVINE Live Inc.;BR
200087;A.H. Belo Corporation;TH
200088;Chiasma, Inc.;CN
